time,close
2020-01-20,9884000.0
2020-01-21,9878000.0
2020-01-22,9887000.0
2020-01-23,9661000.0
2020-01-24,9830000.0
2020-01-25,9692000.0
2020-01-26,9841000.0
2020-01-27,10050000.0
2020-01-28,10282000.0
2020-01-29,10651000.0
2020-01-30,10638000.0
2020-01-31,10682000.0
2020-02-01,10804000.0
2020-02-02,10838000.0
2020-02-03,10831000.0
2020-02-04,10595000.0
2020-02-05,10869000.0
2020-02-06,11331000.0
2020-02-07,11537000.0
2020-02-08,11463000.0
2020-02-09,11725000.0
2020-02-10,11542000.0
2020-02-11,11481000.0
2020-02-12,11827000.0
2020-02-13,11759000.0
2020-02-14,11816000.0
2020-02-15,11856000.0
2020-02-16,11415000.0
2020-02-17,11271000.0
2020-02-18,11423000.0
2020-02-19,11855000.0
2020-02-20,11460000.0
2020-02-21,11536000.0
2020-02-22,11489000.0
2020-02-23,11701000.0
2020-02-24,11660000.0
2020-02-25,11393000.0
2020-02-26,11022000.0
2020-02-27,10743000.0
2020-02-28,10499000.0
2020-02-29,10436000.0
2020-03-01,10380000.0
2020-03-02,10573000.0
2020-03-03,10498000.0
2020-03-04,10468000.0
2020-03-05,10763000.0
2020-03-06,10794000.0
2020-03-07,10870000.0
2020-03-08,10398000.0
2020-03-09,9446000.0
2020-03-10,9693000.0
2020-03-11,9370000.0
2020-03-12,7700000.0
2020-03-13,6997000.0
2020-03-14,6860000.0
2020-03-15,6816000.0
2020-03-16,6391000.0
2020-03-17,6564000.0
2020-03-18,6668000.0
2020-03-19,7276000.0
2020-03-20,8217000.0
2020-03-21,7750000.0
2020-03-22,7637000.0
2020-03-23,7748000.0
2020-03-24,8203000.0
2020-03-25,8270000.0
2020-03-26,8153000.0
2020-03-27,8131000.0
2020-03-28,7650000.0
2020-03-29,7545000.0
2020-03-30,7740000.0
2020-03-31,7848000.0
2020-04-01,7630000.0
2020-04-02,8194000.0
2020-04-03,8162000.0
2020-04-04,8134000.0
2020-04-05,8185000.0
2020-04-06,8498000.0
2020-04-07,8711000.0
2020-04-08,8748000.0
2020-04-09,8817000.0
2020-04-10,8352000.0
2020-04-11,8365000.0
2020-04-12,8563000.0
2020-04-13,8254000.0
2020-04-14,8397000.0
2020-04-15,8223000.0
2020-04-16,8474000.0
2020-04-17,8510000.0
2020-04-18,8717000.0
2020-04-19,8625000.0
2020-04-20,8592000.0
2020-04-21,8349000.0
2020-04-22,8627000.0
