,일자,계(명)
290,2020-11-05,125
291,2020-11-06,145
292,2020-11-07,89
293,2020-11-08,143
294,2020-11-09,126
295,2020-11-10,100
296,2020-11-11,145
297,2020-11-12,143
298,2020-11-13,191
299,2020-11-14,205
300,2020-11-15,208
301,2020-11-16,222
302,2020-11-17,230
303,2020-11-18,285
304,2020-11-19,325
305,2020-11-20,348
306,2020-11-21,386
307,2020-11-22,330
308,2020-11-23,271
309,2020-11-24,349
310,2020-11-25,382
311,2020-11-26,581
312,2020-11-27,555
313,2020-11-28,503
314,2020-11-29,450
315,2020-11-30,438
316,2020-12-01,451
317,2020-12-02,511
318,2020-12-03,540
319,2020-12-04,628
320,2020-12-05,577
321,2020-12-06,631
322,2020-12-07,615
323,2020-12-08,587
324,2020-12-09,670
325,2020-12-10,680
326,2020-12-11,689
327,2020-12-12,950
328,2020-12-13,1030
329,2020-12-14,718
330,2020-12-15,880
331,2020-12-16,1078
332,2020-12-17,1014
333,2020-12-18,1064
334,2020-12-19,1045
335,2020-12-20,1096
336,2020-12-21,924
337,2020-12-22,866
338,2020-12-23,1090
339,2020-12-24,985
340,2020-12-25,1240
341,2020-12-26,1131
342,2020-12-27,970
343,2020-12-28,806
344,2020-12-29,1044
345,2020-12-30,1050
346,2020-12-31,967
347,2021-01-01,1027
348,2021-01-02,820
349,2021-01-03,657
350,2021-01-04,1020
351,2021-01-05,714
352,2021-01-06,838
353,2021-01-07,869
354,2021-01-08,674
355,2021-01-09,641
356,2021-01-10,657
357,2021-01-11,451
358,2021-01-12,537
359,2021-01-13,561
360,2021-01-14,524
361,2021-01-15,512
362,2021-01-16,580
363,2021-01-17,520
364,2021-01-18,389
365,2021-01-19,386
366,2021-01-20,404
367,2021-01-21,400
368,2021-01-22,346
369,2021-01-23,431
370,2021-01-24,392
371,2021-01-25,437
372,2021-01-26,349
373,2021-01-27,559
374,2021-01-28,497
375,2021-01-29,469
376,2021-01-30,456
377,2021-01-31,354
378,2021-02-01,305
379,2021-02-02,336
380,2021-02-03,467
381,2021-02-04,451
382,2021-02-05,370
383,2021-02-06,390
384,2021-02-07,371
385,2021-02-08,288
386,2021-02-09,303
387,2021-02-10,444
388,2021-02-11,504
