일자,계(명)
2021-05-27,629
2021-05-28,587
2021-05-31,430
2021-06-01,459
2021-06-02,677
2021-06-03,681
2021-06-04,695
2021-06-07,485
2021-06-08,454
2021-06-09,602
2021-06-10,610
2021-06-11,556
2021-06-14,399
2021-06-15,373
2021-06-16,545
2021-06-17,540
2021-06-18,507
2021-06-21,357
2021-06-22,394
2021-06-23,645
2021-06-24,610
2021-06-25,634
2021-06-28,501
2021-06-29,595
2021-06-30,794
2021-07-01,761
2021-07-02,825
2021-07-05,711
2021-07-06,746
2021-07-07,1211
2021-07-08,1275
2021-07-09,1316
2021-07-12,1100
2021-07-13,1150
2021-07-14,1613
2021-07-15,1599
2021-07-16,1535
2021-07-19,1251
2021-07-20,1278
2021-07-21,1781
2021-07-22,1841
2021-07-23,1629
2021-07-26,1318
2021-07-27,1363
2021-07-28,1895
2021-07-29,1673
2021-07-30,1710
2021-08-02,1218
2021-08-03,1200
2021-08-04,1725
2021-08-05,1775
2021-08-06,1704
2021-08-09,1491
2021-08-10,1537
2021-08-11,2221
2021-08-12,1987
2021-08-13,1989
2021-08-16,1554
2021-08-17,1372
2021-08-18,1803
2021-08-19,2152
2021-08-20,2050
2021-08-23,1417
2021-08-24,1507
2021-08-25,2154
2021-08-26,1882
2021-08-27,1837
2021-08-30,1485
2021-08-31,1370
