"POI ID","대명칭","중명칭","소명칭","중앙좌표X1","중앙좌표Y1","WSG84X좌표","WSG84Y좌표","등록일자","수정일자"
"102386","하계주유소화장실","개방","무","206213.36124500000","460280.73780500000","127.07040031361034","37.6421255416182","20100712","20100712"
"102390","대경주유소화장실","개방","무","203834.97039500000","462976.91953500000","127.04346619046984","37.66643066345802","20100712","20100712"
"102391","한영주유소화장실","개방","무","205070.26812400000","454325.50704700000","127.05740727170935","37.58847664286867","20100712","20100712"
"102377","파리공원화장실","공중","무","189131.90318100000","448372.82243300000","126.87703605180343","37.5347930944751","20100712","20100712"
"102378","오목공원화장실","공중","유","188800.38676500000","447620.16745700000","126.87329668525396","37.528007714746046","20100712","20100712"
"102379","양천공원화장실","공중","유","188346.64286000000","446512.07004800000","126.86818097476429","37.518018136014256","20100712","20100712"
"102387","도봉산입구무인자동화장실","공중","무","203967.40661900000","465427.76513700000","127.0449805733297","37.68851169732966","20100712","20100712"
"102388","다락원주유소화장실","개방","무","204000.77436300000","465408.81275300000","127.04535877686911","37.688340795807726","20100712","20100712"
"102375","잔다리공중화장실","공중","유","192294.34657600000","450568.81942800000","126.91279351545639","37.55461082412858","20100712","20100712"
"102376","와우산공중화장실","공중","무","193736.80069000000","450278.74451500000","126.92912053155995","37.55200818551641","20100712","20100712"
"102371","홍익공중화장실","공중","무","193225.46689700000","450308.02317100000","126.92333359592257","37.5522683699795","20100712","20100712"
"102373","노고산2공중화장실","공중","무","194236.11537800000","450514.71661100000","126.93476932701331","37.55413754481575","20100712","20100712"
"102374","서교1공중화장실","공중","무","192526.36427200000","450268.99014700000","126.915422358324","37.55191128147163","20100712","20100712"
"102380","신트리공원화장실","공중","유","187314.74906800000","446136.56198300000","126.8565150344231","37.514621201680704","20100712","20100712"
"102381","노원주유소화장실","개방","무","206634.11023800000","457852.94244200000","127.07514556623369","37.62024852179872","20100712","20100712"
"102382","삼육주유소화장실","개방","무","209748.53900800000","460005.13246000000","127.11045181286596","37.639611683388864","20100712","20100712"
"102383","상계주유소화장실","개방","무","205844.65964500000","461809.94183800000","127.06623498791589","37.655905824583535","20100712","20100712"
"102365","역말공중화장실","공중","유","192418.75483200000","456363.47085700000","126.91414153454993","37.60682124576779","20100712","20100712"
"102366","신흥공중화장실","공중","무","192216.89499200000","455170.61556000000","126.91186813039305","37.59607205905243","20100712","20100712"
"102367","창서공원공중화장실","공중","유","194303.61681800000","450813.30288400000","126.93553093207086","37.55682821794361","20100712","20100712"
"102395","살피재주유소화장실","개방","무","195703.73755500000","444320.43308600000","126.951414810996","37.4983349472126","20100712","20100712"
"102456","옥돌빌딩","개방","","202406.45897000000","456307.13888900000","127.027253249497","37.60634178513621","20100712","20100712"
"102457","장석빌딩","개방","무","205009.33932400000","457426.86033000000","127.05673863358268","37.61641985963286","20100712","20100712"
"102566","상일동주민센터","공공기관","무","214627.91933300000","450251.87350700000","127.16554066424129","37.55167130989237","20100712","20100712"
"102568","암사3동주민센터","공공기관","유","212437.23433900000","450625.12614800000","127.1407556054444","37.55506645282384","20100712","20100712"
"102569","성내3동주민센터","공공기관","무","211744.77507400000","447408.03881700000","127.13286742758497","37.52608965891861","20100712","20100712"
"102461","개포출장소","개방","유","206520.00982100000","443177.80537300000","127.07372276899306","37.48802677901673","20100712","20100712"
"102508","소방파출소","공공기관","무","212765.52045100000","449069.58313800000","127.14444385194064","37.54104658651287","20100712","20100712"
"102458","정수빌딩","개방","무","202057.86706500000","453349.00691800000","127.02329712176339","37.57969010361306","20100712","20100712"
"102511","수서동주민센터","개방","","209288.56368000000","443284.50710100000","127.10502854474568","37.48896448719328","20100712","20100712"
"102512","세곡동주민센터","개방","유","209459.13452800000","441088.32613900000","127.10692903746119","37.46917499615443","20100712","20100712"
"102513","은경빌딩개방화장실","개방","무","193212.49451300000","455638.29229600000","126.92313744180287","37.60029366065954","20100712","20100712"
"102462","개포2동주민센터","개방","유","206114.50777300000","443379.45190100000","127.0691393716819","37.48984640077694","20100712","20100712"
"102463","양재천무인자동화장실","공중","무","203592.38159500000","441916.88332300000","127.04061348046265","37.47668178169244","20100712","20100712"
"102464","부룡빌딩개방화장실","개방","무","204517.12847600000","452104.90874100000","127.05113075884323","37.56847207043331","20100712","20100712"
"102515","경우회관개방화장실","개방","무","193140.18772900000","455949.95344900000","126.92231571169067","37.603101159578976","20100712","20100712"
"102516","우풍골개방화장실","개방","무","193372.40612900000","456020.77258500000","126.92494483745394","37.60374093425596","20100712","20100712"
"102517","한샘빌딩개방화장실","개방","유","192957.27444900000","458567.61629900000","126.92021910927132","37.62668459755168","20100712","20100712"
"102400","황금충전소화장실","개방","무","206702.02076600000","454956.32909600000","127.07588827878675","37.594149863742366","20100712","20100712"
"102401","신설공중화장실","공중","유","202137.78959300000","452698.49984600000","127.02420002811223","37.57382888991166","20100712","20100712"
"102402","금호4가공중화장실","공중","무","201816.41989700000","449851.39753900000","127.02055503728505","37.548177280723685","20100712","20100712"
"102570","길1동주민센터","공공기관","유","212608.89446700000","448364.83792100000","127.14265951221967","37.534699003982546","20100712","20100712"
"102571","종합시장D동상가본관지하1층개방화장실","개방","무","200647.48060000000","452364.37229300000","127.00732926133138","37.57082067006839","20100712","20100712"
"102572","종합시장D동상가본관지상3층개방화장실","개방","무","200635.30972000000","452329.71178100000","127.00719146106184","37.57050838895363","20100712","20100712"
"102573","버거킹(종로구청점)개방화장실","개방","무","198278.44328600000","452552.74006900000","126.9805121186735","37.57251647364106","20100712","20100712"
"102514","녹번시장개방화장실","개방","무","193857.55781000000","455671.65936800000","126.9304419339034","37.60059882581242","20100712","20100712"
"102554","개포우성3차상가","개방","","204961.15369200000","442735.52745200000","127.05609356877764","37.48405150422919","20100712","20100712"
"102555","엠-프로젝트","개방","유","199978.12232700000","453778.28755900000","126.99975230994849","37.58356019353602","20100712","20100712"
"102556","제분빌딩","개방","","197821.93086900000","451037.99507600000","126.97534893351617","37.55886771576421","20100712","20100712"
"102558","금풍빌딩","개방","","199156.13237500000","451544.28995600000","126.99044864751527","37.563431603335324","20100712","20100712"
"102560","다동빌딩","개방","","198416.76555800000","452045.66397300000","126.98207901011816","37.56794798974185","20100712","20100712"
"102561","대일빌딩","개방","","198501.10603800000","452046.37392500000","126.98303367765763","37.56795452743466","20100712","20100712"
"102403","신이문역앞공중화장실","공중","유","206006.00879700000","455940.56861700000","127.06801527772735","37.603022571464344","20100712","20100712"
"102404","용마폭포공중화장실","공중","유","207883.58127900000","452718.20195800000","127.08924322759339","37.57397515307354","20100712","20100712"
"102405","중화3동공중화장실","공중","유","206551.27321300000","455865.83402400000","127.07418947235541","37.60234550041743","20100712","20100712"
"102563","강남구보건소","개방","유","204608.93478000000","446280.60736000000","127.05213338926649","37.51599470156191","20100712","20100712"
"102564","신사동주민센터","개방","무","202017.60248900000","447168.67891200000","127.02282429883748","37.52400555329855","20100712","20100712"
"102565","강동구보건소","공공기관","유","211085.45152200000","447759.41283300000","127.12541388530758","37.52926369353064","20100712","20100712"
"102454","한화역사(주)","개방","","197528.85944500000","450711.94054800000","126.97203309249757","37.555929234347566","20100712","20100712"
"102451","태광산업","개방","","200330.35919200000","451365.87894800000","127.00373910459187","37.561824453457604","20100712","20100712"
"102452","한국화이자","개방","","198593.83202200000","451216.56198800000","126.9840848547792","37.56047809901453","20100712","20100712"
"102453","한주흥산","개방","","198589.49685400000","451649.20666100000","126.98403495713697","37.564376205935105","20100712","20100712"
