곡 제목,아티스트,좋아요,앨범
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),244901,Red Moon : To You My Light
VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)",190049,쇼미더머니 9 Episode 1
하늘 땅 바다만큼 (mumumumuch),마마무 (Mamamoo),7907,I SAY MAMAMOO : THE BEST
Memories,Maroon 5,176412,JORDI (Deluxe)
가까운 듯 먼 그대여,카더가든,20706,가까운 듯 먼 그대여
목로주점,임영웅,19751,사랑의 콜센타 PART50
LALISA,리사 (LISA),24322,LALISA
어떻게 지내 (Prod. By VAN.C),오반 (OVAN),167603,어떻게 지내
라라라,SG 워너비,85093,My Friend
고백,장범준,26742,첫 번째 '고백'
왜? 날,백예린 (Yerin Baek),15899,선물
Antifreeze,백예린 (Yerin Baek),21300,선물
