구분,1월 2일,1월 3일,1월 4일,1월 7일,1월 8일,1월 9일,1월 10일,1월 11일,1월 14일,1월 15일,1월 16일,1월 17일,1월 18일,1월 21일,1월 22일,1월 23일,1월 24일,1월 25일,1월 28일,1월 29일,1월 30일,1월 31일,2월 1일,2월 7일,2월 8일,2월 11일,2월 12일,2월 13일,2월 14일,2월 15일,2월 18일,2월 19일,2월 20일,2월 21일,2월 22일,2월 25일,2월 26일,2월 27일,2월 28일,3월 4일,3월 5일,3월 6일,3월 7일,3월 8일,3월 11일,3월 12일,3월 13일,3월 14일,3월 15일,3월 18일,3월 19일,3월 20일,3월 21일,3월 22일,3월 25일,3월 26일,3월 27일,3월 28일,3월 29일,4월 1일,4월 2일,4월 3일,4월 4일,4월 5일,4월 8일,4월 9일,4월 10일,4월 11일,4월 12일,4월 15일,4월 16일,4월 17일,4월 18일,4월 19일,4월 22일,4월 23일,4월 24일,4월 25일,4월 26일,4월 29일,4월 30일,5월 2일,5월 3일,5월 7일,5월 8일,5월 9일,5월 10일,5월 13일,5월 14일,5월 15일,5월 16일,5월 17일,5월 20일,5월 21일,5월 22일,5월 23일,5월 24일,5월 27일,5월 28일,5월 29일,5월 30일,5월 31일,6월 3일,6월 4일,6월 5일,6월 7일,6월 10일,6월 11일,6월 12일,6월 13일,6월 14일,6월 17일,6월 18일,6월 19일,6월 20일,6월 21일,6월 24일,6월 25일,6월 26일,6월 27일,6월 28일,7월 1일,7월 2일,7월 3일,7월 4일,7월 5일,7월 8일,7월 9일,7월 10일,7월 11일,7월 12일,7월 15일,7월 16일,7월 17일,7월 18일,7월 19일,7월 22일,7월 23일,7월 24일,7월 25일,7월 26일,7월 29일,7월 30일,7월 31일,8월 1일,8월 2일,8월 5일,8월 6일,8월 7일,8월 8일,8월 9일,8월 12일,8월 13일,8월 14일,8월 16일,8월 19일,8월 20일,8월 21일,8월 22일,8월 23일,8월 26일,8월 27일,8월 28일,8월 29일,8월 30일,9월 2일,9월 3일,9월 4일,9월 5일,9월 6일,9월 9일,9월 10일,9월 11일,9월 16일,9월 17일,9월 18일,9월 19일,9월 20일,9월 23일,9월 24일,9월 25일,9월 26일,9월 27일,9월 30일,10월 1일,10월 2일,10월 4일,10월 7일,10월 8일,10월 10일,10월 11일,10월 14일,10월 15일,10월 16일,10월 17일,10월 18일,10월 21일,10월 22일,10월 23일,10월 24일,10월 25일,10월 28일,10월 29일,10월 30일,10월 31일,11월 1일,11월 4일,11월 5일,11월 6일,11월 7일,11월 8일,11월 11일,11월 12일,11월 13일,11월 14일,11월 15일,11월 18일,11월 19일,11월 20일,11월 21일,11월 22일,11월 25일,11월 26일,11월 27일,11월 28일,11월 29일,12월 2일,12월 3일,12월 4일,12월 5일,12월 9일,12월 10일,12월 11일,12월 12일,12월 13일,12월 16일,12월 17일,12월 18일,12월 19일,12월 20일,12월 23일,12월 24일,12월 26일,12월 27일,12월 30일,12월 31일
평균,"38,400","39,000","39,600","39,800","39,400","38,400","36,600","36,200","36,200","36,000","35,600","35,600","35,600","37,200","37,800","36,800","36,400","36,200","37,800","38,600","38,800","38,800","39,200","39,200","38,200","37,000","36,800","36,600","36,000","36,800","36,200","36,000","36,600","36,000","36,000","37,000","37,000","36,600","36,800","36,600","35,200","35,400","35,000","35,000","36,000","35,600","34,400","34,600","35,800","36,800","35,800","35,600","35,600","34,600","34,000","34,200","34,200","34,000","34,200","35,400","35,400","35,400","35,600","35,400","35,400","35,600","35,600","35,000","36,000","36,000","36,400","36,200","35,600","36,200","36,600","35,000","35,000","35,000","35,600","35,400","35,400","35,400","37,000","37,600","37,800","37,800","37,800","36,800","36,600","36,600","36,800","36,800","37,400","37,200","36,000","36,000","36,000","35,200","35,600","35,400","35,200","33,800","35,000","34,600","34,600","35,000","35,000","35,000","36,600","36,400","36,400","37,800","38,000","38,200","37,600","36,000","35,400","34,000","33,200","33,400","33,000","32,800","31,800","31,000","30,800","30,600","30,600","30,600","31,200","30,800","30,400","29,600","29,600","29,200","27,800","28,000","26,400","26,600","26,400","27,000","26,800","26,600","26,600","26,600","26,400","26,200","25,600","25,400","26,000","26,600","26,600","28,600","30,800","30,000","29,400","28,600","28,000","28,600","28,800","28,600","27,400","27,600","28,600","28,600","28,200","28,000","28,400","29,000","28,800","27,400","27,600","28,200","29,000","28,400","28,400","27,200","27,000","27,600","28,000","27,800","27,800","28,400","28,200","28,600","28,600","28,800","28,600","27,800","28,000","27,800","28,000","27,400","27,000","26,400","27,800","27,800","26,400","26,000","26,000","26,200","25,200","25,200","25,200","25,200","25,000","25,000","25,400","25,200","25,200","25,400","25,600","25,200","25,000","25,000","25,000","24,800","24,800","25,200","25,000","25,200","24,800","24,800","24,800","24,800","25,000","25,200","25,400","25,200","25,600","25,800","25,600","24,600","25,000","25,000","25,000","25,000","25,000","25,000","25,000","24,800","25,000","25,000","24,800","25,000","26,000","26,200"
평년,"23,013","23,067","23,147","24,027","24,280","24,453","24,547","24,640","24,723","24,683","24,700","24,660","24,573","24,380","24,353","24,337","24,317","24,273","24,727","24,953","25,153","25,177","25,283","25,550","25,550","25,573","25,587","25,540","25,487","25,427","25,333","25,347","25,333","25,333","25,387","25,927","26,153","26,413","26,583","26,787","26,800","26,800","26,813","26,840","26,893","26,933","26,987","26,927","26,873","26,947","26,960","26,947","26,963","26,990","26,947","26,933","26,933","26,933","26,973","27,507","27,670","27,723","27,867","28,027","28,227","28,200","28,160","28,110","28,070","27,880","27,800","27,800","27,827","27,853","28,120","28,233","28,313","28,440","28,547","28,853","28,940","28,990","28,953","29,293","29,393","29,427","29,443","29,827","29,977","30,043","30,107","30,183","30,227","30,227","30,200","30,147","30,067","29,640","29,430","29,297","29,173","29,147","29,067","29,040","29,033","29,100","29,387","29,487","29,607","29,773","29,830","31,080","31,860","32,620","33,173","33,270","33,173","33,103","33,090","33,040","33,167","33,800","33,840","34,080","34,330","34,537","34,740","34,807","34,840","34,853","34,840","34,123","33,923","33,640","33,327","33,220","33,053","32,827","32,853","32,883","32,910","33,300","33,573","33,700","33,733","33,733","33,487","33,100","32,733","32,480","32,533","32,110","31,883","31,763","31,760","31,157","30,923","30,793","30,717","30,610","30,223","30,183","29,973","29,647","29,473","29,250","29,257","29,207","29,143","29,160","28,673","28,633","28,520","27,023","26,917","26,713","26,380","26,157","25,580","25,543","25,403","25,160","24,927","24,523","24,423","24,423","24,397","24,350","24,297","24,267","24,270","23,960","23,973","24,013","24,000","24,027","24,173","24,173","24,147","24,160","24,160","23,987","23,967","23,967","23,987","23,987","24,187","24,220","24,273","24,363","24,403","24,265","24,212","24,140","24,057","23,990","23,607","23,520","23,527","23,560","23,600","24,180","24,207","24,333","24,523","24,697","24,943","24,970","24,987","24,987","25,077","25,090","25,120","25,160","25,147","25,150","25,163","25,240","25,320","25,400","25,340","25,313","25,347","25,367","25,657","25,717"
서울,"41,000","41,000","41,000","41,000","41,000","40,000","40,000","38,000","38,000","38,000","36,000","36,000","36,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","40,000","40,000","40,000","38,000","38,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","37,000","37,000","37,000","39,000","39,000","37,000","37,000","35,000","35,000","35,000","35,000","34,000","34,000","36,000","36,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","33,000","33,000","33,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","37,000","35,000","35,000","35,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","33,000","33,000","35,000","35,000","35,000","37,000","37,000","37,000","36,000","36,000","36,000","34,000","34,000","34,000","32,000","30,000","30,000","30,000","30,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","28,000","28,000","25,000","25,000","25,000","25,000","25,000","28,000","32,000","30,000","30,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","26,000","26,000","28,000","30,000","28,000","28,000","26,000","26,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","24,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","26,000","26,000"
부산,"36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","35,000","35,000","35,000","35,000","35,000","37,000","37,000","37,000","37,000","37,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","36,000","36,000","36,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","36,000","36,000","35,000","35,000","35,000","34,000","34,000","34,000","34,000","35,000","35,000","35,000","35,000","35,000","35,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","34,000","34,000","34,000","33,000","33,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","33,000","33,000","33,000","33,000","33,000","31,000","31,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","28,000","28,000","27,000","27,000","27,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","30,000","30,000","30,000","31,000","32,000","32,000","30,000","29,000","28,000","28,000","28,000","28,000","28,000","28,000","29,000","29,000","29,000","29,000","29,000","30,000","30,000","28,000","28,000","28,000","29,000","29,000","29,000","27,000","27,000","27,000","27,000","27,000","27,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","27,000","27,000","26,000","28,000","28,000","26,000","26,000","27,000","27,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","26,000","26,000"
대구,"37,000","39,000","41,000","42,000","41,000","39,000","34,000","34,000","34,000","34,000","37,000","37,000","37,000","37,000","37,000","36,000","36,000","36,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","35,000","35,000","35,000","35,000","38,000","35,000","35,000","37,000","35,000","35,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","38,000","38,000","36,000","36,000","36,000","38,000","37,000","37,000","37,000","35,000","35,000","35,000","35,000","35,000","35,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","37,000","37,000","37,000","37,000","37,000","37,000","38,000","36,000","36,000","36,000","36,000","38,000","38,000","38,000","39,000","39,000","39,000","39,000","39,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","36,000","36,000","36,000","36,000","37,000","37,000","37,000","35,000","36,000","36,000","36,000","36,000","36,000","36,000","37,000","37,000","37,000","40,000","40,000","40,000","40,000","37,000","35,000","35,000","34,000","34,000","33,000","33,000","33,000","32,000","32,000","32,000","32,000","32,000","33,000","32,000","30,000","30,000","30,000","29,000","27,000","28,000","26,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","25,000","25,000","25,000","25,000","25,000","27,000","27,000","29,000","31,000","30,000","30,000","30,000","29,000","28,000","29,000","28,000","26,000","27,000","28,000","28,000","28,000","28,000","29,000","30,000","30,000","28,000","28,000","28,000","28,000","28,000","28,000","27,000","27,000","28,000","28,000","28,000","28,000","28,000","28,000","29,000","29,000","29,000","29,000","28,000","28,000","28,000","28,000","28,000","26,000","25,000","27,000","27,000","26,000","25,000","23,000","24,000","23,000","24,000","23,000","23,000","23,000","23,000","24,000","24,000","24,000","24,000","25,000","23,000","23,000","23,000","23,000","23,000","23,000","24,000","24,000","24,000","24,000","24,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","26,000","26,000"
광주,"37,000","38,000","37,000","39,000","38,000","37,000","36,000","36,000","37,000","36,000","35,000","35,000","35,000","37,000","38,000","37,000","36,000","35,000","37,000","39,000","40,000","38,000","40,000","40,000","37,000","36,000","37,000","36,000","34,000","35,000","37,000","36,000","37,000","36,000","36,000","37,000","37,000","36,000","35,000","34,000","33,000","34,000","34,000","34,000","35,000","35,000","34,000","35,000","36,000","37,000","36,000","35,000","35,000","34,000","33,000","34,000","34,000","33,000","34,000","35,000","35,000","35,000","36,000","35,000","35,000","36,000","36,000","36,000","37,000","37,000","37,000","36,000","35,000","36,000","37,000","35,000","35,000","35,000","36,000","35,000","35,000","35,000","36,000","37,000","38,000","38,000","38,000","37,000","36,000","36,000","37,000","37,000","38,000","37,000","36,000","36,000","36,000","36,000","37,000","36,000","36,000","34,000","35,000","35,000","35,000","35,000","35,000","35,000","37,000","36,000","36,000","38,000","39,000","40,000","39,000","37,000","36,000","35,000","34,000","35,000","34,000","33,000","32,000","31,000","31,000","30,000","30,000","30,000","32,000","31,000","31,000","30,000","30,000","29,000","28,000","28,000","27,000","27,000","26,000","28,000","27,000","26,000","26,000","26,000","25,000","24,000","24,000","24,000","25,000","26,000","26,000","28,000","30,000","29,000","28,000","27,000","26,000","28,000","28,000","28,000","27,000","27,000","28,000","28,000","26,000","25,000","26,000","27,000","26,000","25,000","26,000","27,000","28,000","27,000","27,000","26,000","25,000","27,000","27,000","26,000","26,000","28,000","27,000","28,000","28,000","29,000","28,000","27,000","28,000","27,000","28,000","27,000","27,000","26,000","27,000","27,000","26,000","25,000","26,000","26,000","25,000","25,000","26,000","26,000","25,000","25,000","26,000","25,000","25,000","26,000","26,000","26,000","25,000","25,000","25,000","25,000","25,000","26,000","25,000","26,000","25,000","25,000","24,000","24,000","25,000","25,000","26,000","25,000","25,000","26,000","25,000","24,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","24,000","25,000","25,000","24,000","25,000","26,000","27,000"
대전,"41,000","41,000","43,000","41,000","41,000","40,000","37,000","37,000","37,000","37,000","35,000","35,000","35,000","37,000","39,000","36,000","35,000","35,000","38,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","35,000","35,000","35,000","35,000","37,000","35,000","33,000","33,000","36,000","38,000","38,000","38,000","38,000","36,000","34,000","34,000","34,000","34,000","34,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","35,000","37,000","37,000","37,000","37,000","35,000","37,000","37,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","38,000","40,000","40,000","40,000","40,000","38,000","38,000","38,000","38,000","38,000","40,000","40,000","38,000","38,000","38,000","35,000","35,000","35,000","35,000","32,000","34,000","34,000","34,000","34,000","34,000","34,000","37,000","37,000","37,000","40,000","40,000","40,000","40,000","37,000","37,000","35,000","35,000","35,000","35,000","35,000","35,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","30,000","30,000","30,000","28,000","28,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","25,000","25,000","25,000","25,000","27,000","29,000","29,000","29,000","29,000","29,000","31,000","31,000","31,000","28,000","28,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","28,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","28,000","28,000","28,000","28,000","27,000","27,000","27,000","29,000","29,000","28,000","28,000","28,000","28,000","26,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","25,000","25,000","25,000","27,000","27,000","27,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","26,000","26,000"
