구분,1월 3일,1월 4일,1월 5일,1월 6일,1월 7일,1월 10일,1월 11일,1월 12일,1월 13일,1월 14일,1월 17일,1월 18일,1월 19일,1월 20일,1월 21일,1월 24일,1월 25일,1월 26일,1월 27일,1월 28일,1월 31일,2월 1일,2월 7일,2월 8일,2월 9일,2월 10일,2월 11일,2월 14일,2월 15일,2월 16일,2월 17일,2월 18일,2월 21일,2월 22일,2월 23일,2월 24일,2월 25일,2월 28일,3월 2일,3월 3일,3월 4일,3월 7일,3월 8일,3월 9일,3월 10일,3월 11일,3월 14일,3월 15일,3월 16일,3월 17일,3월 18일,3월 21일,3월 22일,3월 23일,3월 24일,3월 25일,3월 28일,3월 29일,3월 30일,3월 31일,4월 1일,4월 4일,4월 5일,4월 6일,4월 7일,4월 8일,4월 11일,4월 12일,4월 13일,4월 14일,4월 15일,4월 18일,4월 19일,4월 20일,4월 21일,4월 22일,4월 25일,4월 26일,4월 27일,4월 28일,4월 29일,5월 2일,5월 3일,5월 4일,5월 6일,5월 9일,5월 11일,5월 12일,5월 13일,5월 16일,5월 17일,5월 18일,5월 19일,5월 20일,5월 23일,5월 24일,5월 25일,5월 26일,5월 27일,5월 30일,5월 31일,6월 1일,6월 2일,6월 3일,6월 7일,6월 8일,6월 9일,6월 10일,6월 13일,6월 14일,6월 15일,6월 16일,6월 17일,6월 20일,6월 21일,6월 22일,6월 23일,6월 24일,6월 27일,6월 28일,6월 29일,6월 30일,7월 1일,7월 4일,7월 5일,7월 6일,7월 7일,7월 8일,7월 11일,7월 12일,7월 13일,7월 14일,7월 15일,7월 18일,7월 19일,7월 20일,7월 21일,7월 22일,7월 25일,7월 26일,7월 27일,7월 28일,7월 29일,8월 1일,8월 2일,8월 3일,8월 4일,8월 5일,8월 8일,8월 9일,8월 10일,8월 11일,8월 12일,8월 16일,8월 17일,8월 18일,8월 19일,8월 22일,8월 23일,8월 24일,8월 25일,8월 26일,8월 29일,8월 30일,8월 31일,9월 1일,9월 2일,9월 5일,9월 6일,9월 7일,9월 8일,9월 9일,9월 14일,9월 15일,9월 16일,9월 19일,9월 20일,9월 21일,9월 22일,9월 23일,9월 26일,9월 27일,9월 28일,9월 29일,9월 30일,10월 4일,10월 5일,10월 6일,10월 7일,10월 10일,10월 11일,10월 12일,10월 13일,10월 14일,10월 17일,10월 18일,10월 19일,10월 20일,10월 21일,10월 24일,10월 25일,10월 26일,10월 27일,10월 28일,10월 31일,11월 1일,11월 2일,11월 3일,11월 4일,11월 7일,11월 8일,11월 9일,11월 10일,11월 11일,11월 14일,11월 15일,11월 16일,11월 17일,11월 18일,11월 21일,11월 22일,11월 23일,11월 24일,11월 25일,11월 28일,11월 29일,11월 30일,12월 2일,12월 5일,12월 6일,12월 7일,12월 8일,12월 9일,12월 12일,12월 13일,12월 14일,12월 15일,12월 16일,12월 19일,12월 20일,12월 21일,12월 22일,12월 23일,12월 26일,12월 27일,12월 28일,12월 29일,12월 30일
평균,"25,600","25,600","25,600","26,600","26,800","27,200","27,200","29,400","29,400","29,400","29,400","29,400","30,600","30,600","30,600","30,600","31,000","31,000","31,000","30,400","30,000","30,000","30,200","30,200","29,800","29,800","29,800","29,800","29,800","28,800","28,800","28,800","29,200","28,600","28,000","28,000","28,000","28,000","28,400","28,800","28,800","28,800","28,800","28,800","28,800","28,800","28,400","28,400","28,400","28,400","28,400","28,400","28,400","28,400","28,400","28,400","28,800","28,800","28,800","28,800","28,800","28,800","28,800","30,400","30,400","30,600","30,800","30,800","31,200","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,400","32,200","33,200","33,200","33,200","33,200","33,200","33,200","33,600","34,000","34,000","34,000","34,000","35,000","35,000","35,000","35,600","35,600","36,200","36,200","36,400","37,800","38,800","40,000","40,800","42,400","42,400","42,000","42,000","42,000","42,800","42,800","42,800","42,800","42,800","42,800","42,800","42,800","42,800","43,400","42,200","43,400","43,400","43,400","43,400","43,400","44,000","46,200","49,000","49,400","51,800","51,800","54,200","54,200","55,400","55,400","55,400","54,800","51,800","48,000","45,400","42,200","40,200","38,600","37,400","36,800","36,600","36,200","36,200","37,200","37,200","36,200","35,200","33,400","33,000","32,000","31,600","31,200","30,600","28,400","28,000","28,000","26,800","26,800","27,800","28,400","28,400","29,600","29,600","29,600","29,200","29,200","28,600","28,600","28,200","28,200","28,200","28,200","28,800","28,800","28,800","28,800","29,400","29,400","29,400","29,400","29,400","29,400","27,800","27,800","27,400","27,400","28,600","28,600","28,600","28,600","28,600","28,600","28,200","28,200","28,000","27,800","27,800","26,600","26,600","26,600","26,600","26,600","26,600","26,600","26,600","26,600","26,600","27,000","27,000","27,000","27,400","27,400","27,600","27,600","27,600","27,600","27,200","27,200","27,600","27,600","28,000","28,400","28,400","28,400","29,600","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","30,400","30,400","30,000","30,000"
평년,"16,500","16,593","16,820","17,063","17,217","17,637","17,707","17,813","17,910","17,963","18,200","18,253","18,337","18,370","18,367","18,440","18,487","18,527","18,573","18,540","18,540","18,637","18,940","18,900","18,830","18,783","18,780","18,687","18,673","18,680","18,697","18,737","18,927","18,900","18,913","18,980","19,097","19,057","19,013","19,013","18,987","18,883","18,933","18,947","19,003","19,030","19,097","19,163","19,283","19,370","19,403","19,780","19,810","19,817","19,870","19,933","20,060","20,180","20,313","20,483","20,617","21,090","21,133","21,133","21,123","21,177","21,320","21,400","21,453","21,583","21,703","22,177","22,227","22,213","22,240","22,373","22,633","22,737","22,790","22,913","23,060","23,420","23,553","23,620","23,710","23,897","23,900","23,973","24,127","24,727","24,793","24,793","24,850","24,863","24,630","24,560","24,540","24,450","24,383","24,267","24,287","24,307","24,360","24,380","24,707","25,037","25,360","25,607","25,953","26,173","26,480","26,760","26,913","27,297","27,523","27,647","27,773","27,960","28,210","28,170","28,120","28,027","27,853","27,317","27,297","27,220","27,080","26,977","26,983","26,777","26,853","27,180","27,553","28,723","29,203","29,427","29,537","29,550","28,910","28,773","28,720","28,393","27,920","25,777","25,097","24,613","24,093","23,800","23,497","23,417","23,307","22,843","22,377","20,877","20,670","20,267","19,977","19,337","19,240","19,103","18,907","18,790","18,417","18,403","18,453","18,373","18,273","18,590","18,630","18,547","18,550","18,503","17,333","17,190","17,180","17,040","16,973","16,867","16,747","16,587","16,290","16,223","16,160","16,103","16,090","16,020","15,987","15,937","15,870","15,873","15,930","15,937","15,947","15,910","15,707","15,630","15,537","15,453","15,390","15,170","15,143","15,147","15,120","15,080","14,997","15,003","15,007","15,080","15,130","15,407","15,433","15,520","15,600","15,663","15,713","15,727","15,707","15,713","15,713","15,893","15,907","16,000","16,093","16,170","16,223","16,213","16,217","16,253","16,387","16,423","16,463","16,520","16,590","16,787","16,853","16,907","16,987","17,043","17,300","17,340","17,440","17,547","17,657","17,770","17,780","17,797","17,800","17,927"
서울,"30,000","30,000","30,000","30,000","30,000","32,000","32,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","32,000","32,000","32,000","32,000","32,000","30,000","30,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","31,000","34,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","39,000","42,000","42,000","44,000","44,000","44,000","44,000","44,000","44,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","52,000","52,000","52,000","52,000","52,000","52,000","50,000","50,000","50,000","52,000","52,000","52,000","49,000","49,000","46,000","46,000","46,000","43,000","43,000","43,000","43,000","43,000","43,000","41,000","38,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","30,000","30,000","30,000","30,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","32,000","31,000","31,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000"
부산,"23,000","23,000","23,000","24,000","25,000","25,000","25,000","27,000","27,000","27,000","27,000","27,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","34,000","34,000","35,000","35,000","36,000","37,000","38,000","38,000","38,000","40,000","40,000","40,000","40,000","40,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","45,000","48,000","48,000","52,000","52,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","50,000","47,000","43,000","40,000","37,000","36,000","36,000","35,000","35,000","35,000","35,000","35,000","32,000","32,000","32,000","32,000","32,000","30,000","30,000","30,000","28,000","28,000","28,000","26,000","26,000","26,000","27,000","27,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
대구,"24,000","24,000","24,000","26,000","26,000","26,000","26,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","30,000","30,000","30,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","32,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","35,000","35,000","36,000","36,000","36,000","38,000","38,000","38,000","40,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","48,000","48,000","50,000","53,000","53,000","53,000","53,000","53,000","53,000","53,000","53,000","53,000","48,000","46,000","42,000","38,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","33,000","33,000","31,000","31,000","31,000","31,000","28,000","28,000","28,000","26,000","26,000","26,000","26,000","26,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","27,000","27,000","27,000","27,000","29,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000"
광주,"24,000","24,000","24,000","24,000","24,000","24,000","24,000","27,000","27,000","27,000","27,000","27,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","30,000","30,000","31,000","31,000","31,000","31,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","32,000","32,000","32,000","32,000","32,000","34,000","34,000","34,000","34,000","34,000","35,000","35,000","35,000","37,000","38,000","40,000","40,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","45,000","45,000","45,000","45,000","50,000","50,000","60,000","60,000","60,000","60,000","60,000","55,000","50,000","50,000","40,000","37,000","37,000","34,000","34,000","34,000","34,000","32,000","32,000","32,000","32,000","32,000","32,000","30,000","28,000","28,000","28,000","28,000","28,000","27,000","27,000","27,000","25,000","25,000","25,000","27,000","27,000","30,000","30,000","30,000","30,000","30,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","28,000","28,000","28,000","28,000","28,000","28,000","25,000","25,000","25,000","25,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","26,000","26,000","26,000","26,000","26,000","26,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","26,000","26,000"
대전,"27,000","27,000","27,000","29,000","29,000","29,000","29,000","30,000","30,000","30,000","30,000","30,000","32,000","32,000","32,000","32,000","34,000","34,000","34,000","34,000","32,000","32,000","33,000","33,000","33,000","33,000","35,000","35,000","35,000","30,000","30,000","30,000","32,000","32,000","29,000","29,000","29,000","29,000","31,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","33,000","33,000","33,000","33,000","33,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","42,000","42,000","44,000","44,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","36,000","42,000","42,000","42,000","42,000","42,000","42,000","47,000","52,000","52,000","52,000","52,000","52,000","52,000","60,000","60,000","60,000","60,000","50,000","40,000","45,000","40,000","40,000","40,000","35,000","35,000","35,000","35,000","35,000","40,000","40,000","40,000","38,000","38,000","38,000","35,000","35,000","33,000","30,000","25,000","25,000","25,000","25,000","25,000","30,000","30,000","30,000","30,000","30,000","30,000","28,000","28,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","28,000","28,000","26,000","26,000","30,000","30,000","30,000","30,000","30,000","30,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","30,000","30,000","30,000","30,000"
