구분,1월 2일,1월 3일,1월 4일,1월 5일,1월 8일,1월 9일,1월 10일,1월 11일,1월 12일,1월 15일,1월 16일,1월 17일,1월 18일,1월 19일,1월 22일,1월 23일,1월 24일,1월 25일,1월 26일,1월 29일,1월 30일,1월 31일,2월 1일,2월 2일,2월 5일,2월 6일,2월 7일,2월 8일,2월 9일,2월 12일,2월 13일,2월 14일,2월 19일,2월 20일,2월 21일,2월 22일,2월 23일,2월 26일,2월 27일,2월 28일,3월 2일,3월 5일,3월 6일,3월 7일,3월 8일,3월 9일,3월 12일,3월 13일,3월 14일,3월 15일,3월 16일,3월 19일,3월 20일,3월 21일,3월 22일,3월 23일,3월 26일,3월 27일,3월 28일,3월 29일,3월 30일,4월 2일,4월 3일,4월 4일,4월 5일,4월 6일,4월 9일,4월 10일,4월 11일,4월 12일,4월 13일,4월 16일,4월 17일,4월 18일,4월 19일,4월 20일,4월 23일,4월 24일,4월 25일,4월 26일,4월 27일,4월 30일,5월 2일,5월 3일,5월 4일,5월 8일,5월 9일,5월 10일,5월 11일,5월 14일,5월 15일,5월 16일,5월 17일,5월 18일,5월 21일,5월 23일,5월 24일,5월 25일,5월 28일,5월 29일,5월 30일,5월 31일,6월 1일,6월 4일,6월 5일,6월 7일,6월 8일,6월 11일,6월 12일,6월 14일,6월 15일,6월 18일,6월 19일,6월 20일,6월 21일,6월 22일,6월 25일,6월 26일,6월 27일,6월 28일,6월 29일,7월 2일,7월 3일,7월 4일,7월 5일,7월 6일,7월 9일,7월 10일,7월 11일,7월 12일,7월 13일,7월 16일,7월 17일,7월 18일,7월 19일,7월 20일,7월 23일,7월 24일,7월 25일,7월 26일,7월 27일,7월 30일,7월 31일,8월 1일,8월 2일,8월 3일,8월 6일,8월 7일,8월 8일,8월 9일,8월 10일,8월 13일,8월 14일,8월 16일,8월 17일,8월 20일,8월 21일,8월 22일,8월 23일,8월 24일,8월 27일,8월 28일,8월 29일,8월 30일,8월 31일,9월 3일,9월 4일,9월 5일,9월 6일,9월 7일,9월 10일,9월 11일,9월 12일,9월 13일,9월 14일,9월 17일,9월 18일,9월 19일,9월 20일,9월 21일,9월 27일,9월 28일,10월 1일,10월 2일,10월 4일,10월 5일,10월 8일,10월 10일,10월 11일,10월 12일,10월 15일,10월 16일,10월 17일,10월 18일,10월 19일,10월 22일,10월 23일,10월 24일,10월 25일,10월 26일,10월 29일,10월 30일,10월 31일,11월 1일,11월 2일,11월 5일,11월 6일,11월 7일,11월 8일,11월 9일,11월 12일,11월 13일,11월 14일,11월 15일,11월 16일,11월 19일,11월 20일,11월 21일,11월 22일,11월 23일,11월 26일,11월 27일,11월 28일,11월 29일,11월 30일,12월 3일,12월 4일,12월 5일,12월 6일,12월 10일,12월 11일,12월 12일,12월 13일,12월 14일,12월 17일,12월 18일,12월 19일,12월 20일,12월 21일,12월 24일,12월 26일,12월 27일,12월 28일,12월 31일
평균,"29,400","29,400","30,000","30,200","31,600","31,400","31,600","31,400","31,400","32,800","32,800","32,200","31,800","32,200","33,200","33,000","33,200","33,200","33,000","33,000","33,000","33,400","33,200","33,200","34,000","34,000","34,200","34,000","34,000","34,000","34,200","34,000","33,600","33,200","33,000","33,400","33,400","33,400","33,000","33,600","33,600","35,000","35,600","35,800","35,800","36,600","37,200","37,200","37,000","37,200","37,200","37,200","36,200","36,000","36,000","36,400","36,800","37,000","36,920","36,720","36,800","36,600","36,400","36,000","36,000","36,600","36,600","36,400","37,600","38,400","38,600","38,400","39,000","39,000","39,800","41,400","41,200","41,200","41,800","41,000","40,400","42,400","43,400","43,200","43,600","43,000","42,600","42,600","42,200","43,600","44,400","44,200","44,200","44,800","44,000","43,600","43,400","43,600","44,800","44,800","44,800","45,400","45,200","44,200","44,200","44,200","44,000","44,200","44,200","44,200","44,860","44,400","44,400","43,400","43,400","44,200","43,400","43,200","43,000","43,400","44,200","43,800","43,800","43,600","43,200","43,200","43,200","43,000","44,800","44,800","45,000","46,200","45,800","45,600","44,000","45,800","44,800","46,200","45,400","46,400","46,000","45,600","44,000","40,200","39,000","39,400","39,800","41,000","42,000","41,600","42,200","41,600","41,000","40,000","40,600","41,000","40,400","40,200","40,600","40,200","40,400","41,200","43,800","45,200","46,600","44,600","42,800","40,600","40,800","39,600","39,000","38,400","37,600","37,200","37,600","37,200","39,000","36,800","36,800","36,200","35,000","34,400","34,800","35,800","32,600","32,200","32,200","33,200","33,600","34,000","34,800","34,800","35,200","35,000","34,200","34,800","32,400","32,000","32,200","33,600","33,800","33,400","33,200","33,200","32,800","34,800","34,400","34,600","34,200","34,400","34,800","35,200","36,200","34,600","34,600","35,800","35,800","35,800","35,600","36,600","36,200","35,600","35,600","35,800","35,600","36,400","36,200","35,200","35,800","37,400","37,400","37,400","36,000","36,000","37,800","38,800","38,800","39,200","38,600","39,600","38,200","38,000","37,800","38,600"
평년,"22,400","22,440","22,533","22,787","23,640","23,827","23,920","24,000","24,080","23,980","23,980","23,953","23,920","23,900","23,813","23,803","23,823","23,793","23,880","24,207","24,267","24,330","24,470","24,550","24,733","24,837","24,900","24,900","24,917","25,040","25,030","25,017","24,947","24,933","24,933","24,893","25,000","25,493","25,673","25,673","25,630","25,773","25,853","25,880","25,907","25,960","25,920","25,880","25,787","25,733","25,700","25,693","25,640","25,573","25,493","25,440","25,173","25,093","25,027","25,053","25,107","25,243","25,190","25,067","24,920","24,867","24,680","24,547","24,533","24,520","24,500","24,600","24,720","24,800","24,893","24,933","25,060","25,073","25,210","25,363","25,487","25,853","26,027","26,043","26,133","26,487","26,773","26,953","27,023","27,640","27,733","27,773","27,783","27,730","27,693","27,600","27,507","27,493","27,187","27,080","27,000","27,047","27,060","27,200","27,247","27,313","27,293","27,547","27,673","28,010","28,177","29,630","30,033","30,367","30,460","30,480","30,337","30,383","30,387","30,300","30,233","30,250","30,427","30,640","30,767","30,840","31,050","31,060","31,173","31,240","31,260","30,800","30,667","30,440","30,360","30,387","30,117","30,217","30,470","30,723","31,027","31,870","32,553","33,043","33,270","33,337","33,007","32,587","32,227","32,027","31,647","30,573","30,270","30,077","29,863","28,770","28,637","28,477","28,343","28,273","28,200","28,133","27,993","28,047","27,973","27,580","27,460","27,357","27,347","27,283","26,830","26,627","26,340","26,093","25,927","25,460","25,280","25,147","25,087","25,000","23,930","23,790","23,547","23,427","23,227","23,180","22,680","22,613","22,563","22,530","22,217","22,213","22,173","22,193","22,220","22,147","22,040","21,987","21,977","21,957","21,897","21,923","21,947","21,933","21,960","22,133","22,167","22,257","22,310","22,287","22,162","22,100","22,057","22,017","21,947","21,670","21,640","21,613","21,623","21,743","21,950","22,013","22,057","22,070","22,120","22,333","22,413","22,493","22,550","22,693","22,733","22,760","22,740","22,713","22,667","22,680","22,693","22,733","22,733","22,707","22,707","22,700","22,727","22,940"
서울,"32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","34,000","34,000","34,000","34,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","37,000","37,000","37,000","37,000","37,000","39,000","39,000","39,000","39,000","39,000","39,000","39,000","39,000","39,000","39,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","42,000","42,000","42,000","42,000","42,000","42,000","44,000","44,000","44,000","44,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","42,000","42,000","42,000","42,000","44,000","44,000","44,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","46,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","45,000","47,000","48,000","48,000","48,000","46,000","44,000","45,000","47,000","47,000","47,000","50,000","50,000","52,000","48,000","45,000","45,000","48,000","50,000","48,000","48,000","48,000","48,000","48,000","48,000","50,000","50,000","48,000","45,000","41,000","41,000","41,000","44,000","46,000","46,000","48,000","48,000","48,000","48,000","46,000","44,000","42,000","42,000","40,000","40,000","40,000","40,000","38,000","38,000","38,000","38,000","38,000","36,000","36,000","38,000","38,000","36,000","36,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","35,000","35,000","37,000","37,000","37,000","37,000","39,000","39,000","39,000","39,000","39,000","39,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","39,000","39,000","36,000","36,000","38,000","38,000","36,000","38,000","38,000","41,000"
부산,"28,000","28,000","29,000","29,000","30,000","30,000","30,000","30,000","30,000","32,000","32,000","31,000","31,000","31,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","34,000","34,000","34,000","34,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","37,000","37,000","37,000","38,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","43,000","43,000","43,000","43,000","43,000","43,000","43,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","45,000","45,000","45,000","45,000","45,000","45,000","42,000","42,000","40,000","38,000","40,000","41,000","42,000","42,000","42,000","43,000","42,000","42,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","42,000","44,000","46,000","46,000","44,000","42,000","42,000","40,000","39,000","39,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","36,000","36,000","36,000","36,000","36,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","37,000","37,000","37,000","36,000","36,000","33,000","30,000","30,000","32,000","32,000","32,000","32,000","32,000","32,000","35,000","35,000","35,000","35,000","35,000","36,000","36,000","38,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","35,000","35,000","35,000","35,000","35,000","37,000","37,000","35,000","35,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","38,000","36,000","36,000","36,000","36,000"
대구,"30,000","30,000","30,000","30,000","32,000","32,000","32,000","32,000","32,000","33,000","33,000","32,000","32,000","32,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","32,000","32,000","32,000","32,000","32,000","32,000","33,000","33,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","34,000","34,000","34,000","38,000","38,000","38,000","37,000","37,000","37,000","38,000","40,000","40,000","40,000","40,000","36,000","35,000","42,000","45,000","45,000","45,000","44,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","42,000","42,000","43,000","40,000","40,000","40,000","40,000","44,000","44,000","44,000","44,000","44,000","44,000","42,000","42,000","44,000","44,000","46,000","46,000","46,000","46,000","44,000","47,000","45,000","50,000","47,000","47,000","47,000","48,000","44,000","35,000","35,000","35,000","35,000","35,000","40,000","40,000","43,000","41,000","38,000","37,000","37,000","42,000","41,000","41,000","41,000","41,000","39,000","39,000","48,000","50,000","50,000","50,000","45,000","38,000","40,000","40,000","40,000","40,000","38,000","38,000","38,000","38,000","45,000","38,000","38,000","38,000","38,000","33,000","33,000","37,000","29,000","29,000","29,000","29,000","30,000","30,000","35,000","35,000","35,000","32,000","32,000","34,000","30,000","33,000","33,000","33,000","33,000","30,000","30,000","30,000","30,000","35,000","32,000","32,000","32,000","32,000","34,000","34,000","34,000","32,000","32,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","33,000","34,000","34,000","34,000","34,000","34,000","34,000","36,000","36,000","36,000","33,000","35,000","40,000","40,000","40,000","40,000","37,000","40,000","37,000","37,000","37,000","37,000"
광주,"29,000","29,000","30,000","30,000","32,000","31,000","32,000","31,000","31,000","32,000","32,000","31,000","30,000","31,000","33,000","32,000","33,000","33,000","32,000","32,000","32,000","33,000","32,000","32,000","34,000","34,000","34,000","33,000","33,000","33,000","34,000","33,000","31,000","31,000","30,000","32,000","32,000","32,000","30,000","31,000","31,000","31,000","34,000","35,000","35,000","38,000","39,000","39,000","38,000","39,000","39,000","40,000","38,000","37,000","37,000","39,000","40,000","40,000","39,000","38,000","37,000","36,000","35,000","34,000","34,000","35,000","35,000","34,000","36,000","38,000","39,000","38,000","39,000","39,000","40,000","41,000","40,000","40,000","43,000","42,000","40,000","43,000","45,000","43,000","45,000","45,000","45,000","45,000","43,000","45,000","47,000","46,000","46,000","46,000","45,000","43,000","42,000","43,000","45,000","45,000","45,000","48,000","46,000","43,000","43,000","43,000","43,000","44,000","44,000","44,000","46,000","45,000","45,000","43,000","43,000","46,000","45,000","44,000","43,000","45,000","45,000","46,000","46,000","45,000","43,000","43,000","45,000","44,000","46,000","45,000","45,000","49,000","47,000","46,000","45,000","46,000","44,000","46,000","45,000","47,000","47,000","45,000","45,000","42,000","40,000","39,000","38,000","40,000","40,000","38,000","37,000","37,000","37,000","36,000","36,000","35,000","36,000","38,000","40,000","38,000","38,000","40,000","42,000","43,000","44,000","38,000","36,000","36,000","37,000","36,000","34,000","34,000","36,000","35,000","35,000","35,000","37,000","35,000","35,000","34,000","30,000","32,000","33,000","34,000","32,000","30,000","28,000","30,000","31,000","33,000","32,000","30,000","32,000","31,000","32,000","33,000","31,000","29,000","30,000","32,000","33,000","34,000","33,000","33,000","31,000","33,000","34,000","35,000","33,000","34,000","32,000","34,000","35,000","34,000","34,000","36,000","36,000","36,000","35,000","36,000","35,000","34,000","36,000","36,000","35,000","37,000","36,000","35,000","35,000","37,000","37,000","37,000","35,000","35,000","37,000","39,000","40,000","39,000","37,000","38,000","40,000","38,000","37,000","38,000"
대전,"28,000","28,000","29,000","30,000","32,000","32,000","32,000","32,000","32,000","33,000","33,000","33,000","32,000","32,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","34,000","34,000","34,000","34,000","34,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","36,000","36,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","37,000","37,000","37,000","36,000","36,000","36,000","37,000","37,600","37,600","39,000","39,000","39,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","40,000","40,000","41,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","43,000","43,000","41,000","41,000","41,000","41,000","44,000","44,000","44,000","44,000","45,000","42,000","42,000","42,000","42,000","44,000","44,000","44,000","44,000","45,000","43,000","43,000","43,000","43,000","43,000","43,000","43,000","44,300","43,000","43,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","45,000","44,000","42,000","44,000","44,000","46,000","43,000","46,000","43,000","43,000","43,000","43,000","41,000","41,000","41,000","39,000","37,000","35,000","35,000","40,000","40,000","40,000","40,000","40,000","40,000","37,000","40,000","40,000","40,000","41,000","41,000","41,000","41,000","41,000","41,000","41,000","45,000","41,000","41,000","41,000","41,000","40,000","40,000","39,000","36,000","35,000","37,000","37,000","37,000","35,000","35,000","35,000","35,000","35,000","34,000","34,000","31,000","31,000","31,000","34,000","34,000","34,000","34,000","34,000","34,000","37,000","35,000","35,000","32,000","32,000","32,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","36,000","36,000","38,000","36,000","36,000","35,000","35,000","35,000","35,000","37,000","37,000","35,000","35,000","35,000","35,000","37,000","37,000","35,000","38,000","40,000","40,000","40,000","38,000","36,000","36,000","39,000","41,000","44,000","44,000","44,000","42,000","41,000","41,000","41,000"
