구분,1월 2일,1월 3일,1월 4일,1월 5일,1월 6일,1월 9일,1월 10일,1월 11일,1월 12일,1월 13일,1월 16일,1월 17일,1월 18일,1월 19일,1월 20일,1월 25일,1월 26일,1월 27일,1월 30일,1월 31일,2월 1일,2월 2일,2월 3일,2월 6일,2월 7일,2월 8일,2월 9일,2월 10일,2월 13일,2월 14일,2월 15일,2월 16일,2월 17일,2월 20일,2월 21일,2월 22일,2월 23일,2월 24일,2월 27일,2월 28일,02월 29일,3월 2일,3월 5일,3월 6일,3월 7일,3월 8일,3월 9일,3월 12일,3월 13일,3월 14일,3월 15일,3월 16일,3월 19일,3월 20일,3월 21일,3월 22일,3월 23일,3월 26일,3월 27일,3월 28일,3월 29일,3월 30일,4월 2일,4월 3일,4월 4일,4월 5일,4월 6일,4월 9일,4월 10일,4월 12일,4월 13일,4월 16일,4월 17일,4월 18일,4월 19일,4월 20일,4월 23일,4월 24일,4월 25일,4월 26일,4월 27일,4월 30일,5월 2일,5월 3일,5월 4일,5월 7일,5월 8일,5월 9일,5월 10일,5월 11일,5월 14일,5월 15일,5월 16일,5월 17일,5월 18일,5월 21일,5월 22일,5월 23일,5월 24일,5월 25일,5월 29일,5월 30일,5월 31일,6월 1일,6월 4일,6월 5일,6월 7일,6월 8일,6월 11일,6월 12일,6월 13일,6월 14일,6월 15일,6월 18일,6월 19일,6월 20일,6월 21일,6월 22일,6월 25일,6월 26일,6월 27일,6월 28일,6월 29일,7월 2일,7월 3일,7월 4일,7월 5일,7월 6일,7월 9일,7월 10일,7월 11일,7월 12일,7월 13일,7월 16일,7월 17일,7월 18일,7월 19일,7월 20일,7월 23일,7월 24일,7월 25일,7월 26일,7월 27일,7월 30일,7월 31일,8월 1일,8월 2일,8월 3일,8월 6일,8월 7일,8월 8일,8월 9일,8월 10일,8월 13일,8월 14일,8월 16일,8월 17일,8월 20일,8월 21일,8월 22일,8월 23일,8월 24일,8월 27일,8월 28일,8월 29일,8월 30일,8월 31일,9월 3일,9월 4일,9월 5일,9월 6일,9월 7일,9월 10일,9월 11일,9월 12일,9월 13일,9월 14일,9월 17일,9월 18일,9월 19일,9월 20일,9월 21일,9월 24일,9월 25일,9월 26일,9월 27일,9월 28일,10월 2일,10월 4일,10월 5일,10월 8일,10월 9일,10월 10일,10월 11일,10월 12일,10월 15일,10월 16일,10월 17일,10월 18일,10월 19일,10월 22일,10월 23일,10월 24일,10월 25일,10월 26일,10월 29일,10월 30일,10월 31일,11월 1일,11월 2일,11월 5일,11월 6일,11월 7일,11월 8일,11월 9일,11월 12일,11월 13일,11월 14일,11월 15일,11월 16일,11월 19일,11월 20일,11월 21일,11월 22일,11월 23일,11월 26일,11월 27일,11월 28일,11월 29일,11월 30일,12월 3일,12월 4일,12월 5일,12월 6일,12월 7일,12월 10일,12월 11일,12월 12일,12월 13일,12월 14일,12월 17일,12월 18일,12월 20일,12월 21일,12월 24일,12월 26일,12월 27일,12월 28일,12월 31일
평균,"30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","29,800","29,800","30,000","30,200","30,200","30,400","30,400","30,400","30,400","30,400","30,400","30,400","30,400","30,400","30,400","30,400","30,400","31,200","31,200","31,200","33,400","34,800","34,800","34,800","34,800","34,800","34,800","34,800","34,800","34,800","34,800","35,400","35,400","35,400","35,400","35,000","35,000","35,000","35,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","38,000","38,000","39,000","39,000","39,000","39,600","40,200","42,400","42,400","42,400","42,600","42,600","45,400","45,400","45,400","45,400","45,400","46,800","46,800","46,800","47,200","47,200","47,200","47,200","47,200","47,200","47,200","47,200","47,200","47,200","47,200","47,800","49,800","50,200","50,200","50,200","50,200","50,200","50,200","51,200","51,400","51,400","51,400","51,400","51,400","51,400","51,400","51,400","50,200","50,200","50,200","50,200","50,200","50,200","51,000","51,000","51,000","51,000","50,200","50,200","49,600","49,600","49,600","50,200","50,600","50,600","50,600","50,600","50,600","50,600","50,600","50,600","50,600","50,600","47,200","45,800","44,200","44,200","43,400","43,400","43,400","43,400","40,800","40,800","39,800","38,400","38,400","38,400","36,600","36,600","35,200","33,600","33,600","32,000","32,000","33,000","32,200","31,800","33,400","33,400","35,000","35,600","35,000","35,000","35,000","35,000","35,000","35,000","32,600","33,600","35,200","36,000","34,800","35,600","37,400","37,800","37,000","37,000","37,000","37,000","37,000","35,600","35,800","35,800","35,800","35,800","35,800","32,800","32,800","32,800","31,400","31,400","31,400","30,600","30,600","27,600","25,200","25,200","25,200","25,200","25,200","25,200","25,200","25,200","25,200","25,200","25,200","25,200","25,200","24,400","24,400","24,400","24,400","24,400","23,000","23,000","23,000","24,000","24,000","24,000","24,000","23,400","23,400","23,400","23,400","23,400","23,400","23,400","23,400","23,400","23,400","23,400","23,400","23,400","23,400","23,400","23,400","23,400","24,400","24,800","24,800","24,800","24,800","24,800","24,800","24,800","24,800","24,800","24,800","24,800","24,800","24,800","24,800","24,800"
평년,"18,360","18,513","18,620","18,907","19,257","19,737","19,800","19,863","19,947","20,057","20,413","20,540","20,580","20,627","20,687","20,803","20,843","20,890","20,720","20,660","20,713","20,827","20,827","21,000","21,057","21,070","21,013","20,967","20,920","20,927","20,927","20,947","20,963","21,203","21,223","21,193","21,253","21,357","21,433","21,370","15,120","21,240","20,933","20,883","20,917","20,940","20,960","21,080","21,110","21,097","21,173","21,280","21,373","21,453","21,507","21,480","21,427","21,547","21,567","21,613","21,647","21,787","22,227","22,423","22,517","22,533","22,573","22,890","23,120","23,300","23,513","24,253","24,443","24,510","24,517","24,530","24,853","24,940","25,043","25,120","25,137","25,507","25,600","25,720","25,793","25,973","26,190","26,387","26,430","26,500","27,107","27,313","27,487","27,580","27,593","27,713","27,793","27,803","27,793","27,730","27,420","27,400","27,427","27,420","27,373","27,417","27,460","27,537","27,880","27,940","27,940","27,993","28,113","28,360","28,393","28,377","28,373","28,377","28,733","28,807","28,803","28,780","28,823","28,147","27,960","27,850","27,793","27,650","27,053","26,937","26,997","26,793","26,853","28,133","28,860","28,950","29,350","29,480","29,507","29,283","28,967","28,907","29,080","27,947","27,513","27,210","27,057","26,893","26,240","26,103","26,067","26,083","26,027","24,867","24,360","24,050","23,963","23,227","23,020","22,890","22,800","22,650","21,800","21,530","21,377","21,257","21,213","21,350","21,510","21,747","21,870","21,853","21,733","21,477","21,243","21,140","20,960","20,773","20,623","20,623","20,507","20,347","20,040","19,953","19,950","19,917","19,773","19,287","19,233","19,023","18,507","18,343","18,350","18,370","18,337","18,080","18,023","18,010","17,977","17,897","17,680","17,590","17,560","17,530","17,493","17,400","17,370","17,340","17,377","17,473","17,893","18,020","18,080","18,087","18,120","18,200","18,193","18,200","18,233","18,240","18,240","18,297","18,350","18,333","18,360","18,680","18,710","18,693","18,760","18,870","19,147","19,197","19,263","19,317","19,277","19,427","19,453","19,467","19,480","19,560","19,760","19,863","19,993","20,160","20,533","20,590","20,580","20,543","20,960"
서울,"33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","39,000","39,000","39,000","39,000","39,000","40,000","43,000","43,000","43,000","43,000","43,000","43,000","45,000","45,000","45,000","45,000","45,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","44,000","41,000","41,000","41,000","41,000","41,000","41,000","41,000","41,000","41,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","33,000","35,000","35,000","35,000","35,000","39,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","35,000","35,000","35,000","35,000","35,000","35,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000"
부산,"30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","31,000","31,000","31,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","37,000","37,000","37,000","37,000","37,000","38,000","38,000","42,000","42,000","42,000","42,000","42,000","43,000","43,000","43,000","43,000","43,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","47,000","49,000","49,000","49,000","49,000","49,000","49,000","49,000","49,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","46,000","46,000","44,000","44,000","44,000","44,000","44,000","44,000","42,000","42,000","42,000","40,000","40,000","40,000","38,000","38,000","35,000","33,000","33,000","31,000","31,000","31,000","31,000","31,000","32,000","32,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","33,000","33,000","33,000","35,000","35,000","35,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","35,000","35,000","35,000","35,000","35,000","35,000","33,000","33,000","33,000","32,000","32,000","32,000","30,000","30,000","28,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000"
대구,"31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","37,000","37,000","39,000","39,000","39,000","40,000","40,000","42,000","42,000","42,000","43,000","43,000","46,000","46,000","46,000","46,000","46,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","49,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","55,000","55,000","55,000","55,000","55,000","55,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","49,000","49,000","46,000","46,000","42,000","42,000","42,000","42,000","39,000","39,000","39,000","39,000","39,000","39,000","37,000","37,000","35,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","33,000","33,000","33,000","35,000","35,000","35,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","34,000","34,000","34,000","31,000","31,000","31,000","31,000","31,000","28,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000"
광주,"26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","27,000","28,000","28,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","32,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","40,000","40,000","40,000","40,000","40,000","42,000","42,000","42,000","42,000","42,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","47,000","47,000","47,000","47,000","47,000","47,000","47,000","47,000","47,000","47,000","47,000","47,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","42,000","42,000","42,000","40,000","40,000","40,000","37,000","37,000","35,000","35,000","35,000","34,000","34,000","34,000","30,000","30,000","32,000","32,000","32,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","32,000","32,000","35,000","35,000","33,000","33,000","33,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","32,000","32,000","32,000","30,000","30,000","25,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000"
대전,"30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","32,000","32,000","32,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","35,000","35,000","35,000","35,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","43,000","43,000","43,000","43,000","43,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","50,000","50,000","50,000","50,000","50,000","50,000","55,000","55,000","55,000","55,000","55,000","55,000","55,000","55,000","55,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","47,000","47,000","47,000","47,000","47,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","40,000","40,000","35,000","35,000","35,000","35,000","33,000","33,000","33,000","30,000","30,000","25,000","25,000","30,000","30,000","30,000","35,000","35,000","38,000","38,000","35,000","35,000","35,000","35,000","35,000","35,000","32,000","35,000","40,000","40,000","36,000","36,000","40,000","40,000","36,000","36,000","36,000","36,000","36,000","36,000","37,000","37,000","37,000","37,000","37,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","23,000","23,000","23,000","23,000","23,000","20,000","20,000","20,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
