구분,1월 2일,1월 3일,1월 6일,1월 7일,1월 8일,1월 9일,1월 10일,1월 13일,1월 14일,1월 15일,1월 16일,1월 17일,1월 20일,1월 21일,1월 22일,1월 23일,1월 28일,1월 29일,1월 30일,1월 31일,2월 3일,2월 4일,2월 5일,2월 6일,2월 7일,2월 10일,2월 11일,2월 12일,2월 13일,2월 14일,2월 17일,2월 18일,2월 19일,2월 20일,2월 21일,2월 24일,2월 25일,2월 26일,2월 27일,2월 28일,3월 2일,3월 3일,3월 4일,3월 5일,3월 6일,3월 9일,3월 10일,3월 11일,3월 12일,3월 13일,3월 16일,3월 17일,3월 18일,3월 19일,3월 20일,3월 23일,3월 24일,3월 25일,3월 26일,3월 27일,3월 30일,3월 31일,4월 1일,4월 2일,4월 3일,4월 6일,4월 7일,4월 8일,4월 9일,4월 10일,4월 13일,4월 14일,4월 16일,4월 17일,4월 20일,4월 21일,4월 22일,4월 23일,4월 24일,4월 27일,4월 28일,4월 29일,5월 4일,5월 6일,5월 7일,5월 8일,5월 11일,5월 12일,5월 13일,5월 14일,5월 15일,5월 18일,5월 19일,5월 20일,5월 21일,5월 22일,5월 25일,5월 26일,5월 27일,5월 28일,5월 29일,6월 1일,6월 2일,6월 3일,6월 4일,6월 5일,6월 8일,6월 9일,6월 10일,6월 11일,6월 12일,6월 15일,6월 16일,6월 17일,6월 18일,6월 19일,6월 22일,6월 23일,6월 24일,6월 25일,6월 26일,6월 29일,6월 30일,7월 1일,7월 2일,7월 3일,7월 6일,7월 7일,7월 8일,7월 9일,7월 10일,7월 13일,7월 14일,7월 15일,7월 16일,7월 17일,7월 20일,7월 21일,7월 22일,7월 23일,7월 24일,7월 27일,7월 28일,7월 29일,7월 30일,7월 31일,8월 3일,8월 4일,8월 5일,8월 6일,8월 7일,8월 10일,8월 11일,8월 12일,8월 13일,8월 14일,8월 18일,8월 19일,8월 20일,8월 21일,8월 24일,8월 25일,8월 26일,8월 27일,8월 28일,8월 31일,9월 1일,9월 2일,9월 3일,9월 4일,9월 7일,9월 8일,9월 9일,9월 10일,9월 11일,9월 14일,9월 15일,9월 16일,9월 17일,9월 18일,9월 21일,9월 22일,9월 23일,9월 24일,9월 25일,9월 28일,9월 29일,10월 5일,10월 6일,10월 7일,10월 8일,10월 12일,10월 13일,10월 14일,10월 15일,10월 16일,10월 19일,10월 20일,10월 21일,10월 22일,10월 23일,10월 26일,10월 27일,10월 28일,10월 29일,10월 30일,11월 2일,11월 3일,11월 4일,11월 5일,11월 6일,11월 9일,11월 10일,11월 11일,11월 12일,11월 13일,11월 16일,11월 17일,11월 18일,11월 19일,11월 20일,11월 23일,11월 24일,11월 25일,11월 26일,11월 27일,11월 30일,12월 1일,12월 2일,12월 3일,12월 7일,12월 8일,12월 9일,12월 10일,12월 11일,12월 14일,12월 15일,12월 16일,12월 17일,12월 18일,12월 21일,12월 22일,12월 23일,12월 24일,12월 28일,12월 29일,12월 30일,12월 31일
평균,"26,000","26,000","25,800","25,800","25,800","25,600","25,800","26,020","26,020","26,620","26,620","26,620","26,620","26,600","26,800","26,400","27,000","26,400","25,800","26,000","26,000","27,000","26,800","27,400","28,000","28,000","28,000","28,200","27,800","27,400","26,800","25,400","25,000","25,000","25,250","25,250","27,250","30,750","33,750","35,000","34,250","34,250","34,250","35,250","35,250","33,800","33,800","35,200","35,800","36,000","37,200","36,800","36,800","36,600","36,600","36,800","36,800","36,800","35,000","35,000","35,400","35,400","35,200","35,400","36,600","36,800","37,200","38,200","38,200","39,400","39,800","40,000","41,800","44,000","45,600","46,600","46,800","46,600","46,600","45,000","47,000","48,400","49,800","52,600","51,400","51,000","50,800","51,000","51,000","50,200","51,200","54,400","53,600","55,200","55,200","55,200","55,000","56,800","58,400","59,800","60,800","60,400","60,400","60,200","61,000","61,000","61,000","60,600","59,800","59,800","59,400","59,200","57,400","55,400","55,400","55,200","54,720","54,720","55,380","55,380","55,980","55,580","55,580","55,180","55,180","55,380","56,980","57,780","57,780","57,580","57,580","56,980","56,980","56,980","56,980","56,780","61,900","64,100","65,640","66,440","67,440","68,240","66,900","67,780","68,180","69,700","70,500","69,700","69,100","65,980","66,980","67,380","68,180","67,580","67,180","63,980","57,900","50,040","42,580","41,100","40,380","40,680","40,480","41,300","43,040","41,240","40,840","41,640","41,340","41,740","43,140","42,740","42,180","41,980","41,780","39,180","40,580","41,700","42,100","39,500","36,980","35,440","34,840","32,080","31,780","31,980","31,980","33,940","32,080","32,680","34,440","32,720","31,920","31,520","31,920","32,120","33,120","33,920","33,920","33,720","34,520","34,720","34,520","34,920","35,320","35,720","36,720","35,520","35,320","35,320","35,720","35,920","34,720","36,320","36,520","36,320","35,920","36,520","36,120","37,320","37,320","36,120","36,320","36,520","36,320","36,920","37,720","37,920","37,520","37,720","38,120","37,720","37,720","37,720","39,420","39,420","39,820","39,720","39,520","39,520","39,860","39,860","40,460","40,460","41,120","41,120","41,120","41,920"
평년,"25,827","25,933","26,800","26,973","27,147","27,333","27,507","27,940","27,970","27,990","28,033","28,047","27,890","27,830","27,833","27,897","28,263","28,553","28,767","28,817","29,293","29,307","29,267","29,260","29,313","29,210","29,163","29,133","29,060","28,953","28,797","28,783","28,747","28,680","28,640","28,900","28,960","29,100","29,273","29,507","29,587","29,790","29,857","29,907","29,987","30,153","30,167","30,080","30,107","30,227","30,200","30,203","30,283","30,307","30,160","29,900","29,887","29,827","29,733","29,707","29,990","30,203","30,493","30,750","30,870","31,360","31,427","31,427","31,440","31,533","31,570","31,510","31,413","31,427","31,430","31,523","31,613","31,660","31,673","31,877","31,917","31,973","32,690","32,803","32,967","33,207","33,163","33,217","33,240","33,190","33,123","33,363","33,377","33,280","33,227","33,147","32,807","32,687","32,480","32,310","32,097","31,710","31,670","31,687","31,640","31,700","31,807","31,860","32,013","32,193","32,327","32,863","33,103","33,547","34,073","34,460","34,117","34,250","33,973","33,650","33,450","33,317","33,623","33,680","33,533","33,587","33,883","33,897","33,927","34,007","34,000","33,807","33,513","33,190","32,763","32,373","31,667","31,720","31,707","31,667","31,790","32,437","32,760","32,953","33,290","33,417","33,493","33,307","33,140","32,683","32,360","32,337","32,177","32,123","32,123","32,163","31,860","31,637","31,457","31,353","30,907","30,707","30,703","30,663","30,453","29,870","29,857","29,850","29,910","29,913","29,787","29,587","29,497","29,430","29,427","28,713","28,447","28,190","28,057","27,887","27,253","27,107","27,007","27,090","26,950","26,403","26,323","26,237","26,263","26,203","26,123","25,957","25,877","25,733","25,747","25,747","25,667","25,707","25,667","25,533","25,333","25,170","25,130","25,093","25,007","24,993","25,057","25,097","25,133","25,180","25,260","25,350","25,310","25,265","25,252","25,193","24,953","24,873","24,807","24,800","24,807","24,967","25,167","25,260","25,247","25,373","25,947","25,997","26,063","26,130","26,193","26,207","26,197","26,170","26,147","26,133","26,133","26,110","26,083","26,107","26,183","26,170","26,140","26,140","26,493","26,600","27,008","27,093"
서울,"26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","30,000","30,000","30,000","31,000","31,000","30,000","28,000","27,000","27,000","25,000","25,000","26,000","26,000","28,000","31,000","33,000","35,000","35,000","35,000","33,000","35,000","35,000","33,000","33,000","36,000","37,000","37,000","39,000","39,000","39,000","39,000","39,000","39,000","39,000","39,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","38,000","38,000","38,000","40,000","40,000","43,000","45,000","46,000","46,000","46,000","46,000","46,000","46,000","48,000","52,000","52,000","52,000","50,000","50,000","50,000","50,000","50,000","50,000","52,000","52,000","52,000","55,000","55,000","55,000","55,000","57,000","61,000","61,000","64,000","64,000","64,000","64,000","64,000","64,000","64,000","64,000","62,000","62,000","60,000","60,000","60,000","55,000","55,000","55,000","55,000","55,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","58,000","60,000","60,000","60,000","60,000","57,000","57,000","57,000","57,000","57,000","66,000","72,000","70,000","66,000","66,000","66,000","64,300","66,000","66,000","70,600","70,600","70,600","70,600","61,000","61,000","61,000","65,000","65,000","65,000","61,000","51,300","48,000","40,000","41,600","43,000","43,000","43,000","44,600","47,000","43,000","43,000","43,000","41,000","41,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","43,600","43,600","37,600","36,000","34,300","34,300","31,000","31,000","31,000","31,000","33,300","31,000","34,000","39,300","39,000","39,000","38,000","38,000","38,000","40,000","40,000","40,000","40,000","40,000","40,000","39,000","39,000","39,000","39,000","39,000","37,000","36,000","36,000","36,000","36,000","36,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","36,000","36,000","36,000","36,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000"
부산,"26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000",-,"26,000","25,000","25,000","25,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","25,000","25,000","25,000","25,000","25,000","29,000","33,000","36,000","36,000","35,000","35,000","35,000","35,000","35,000","33,000","33,000","35,000","35,000","35,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","35,000","35,000","35,000","35,000","35,000","35,000","38,000","38,000","38,000","38,000","38,000","40,000","40,000","40,000","42,000","45,000","46,000","47,000","47,000","47,000","47,000","45,000","47,000","48,000","48,000","52,000","52,000","52,000","52,000","52,000","52,000","50,000","50,000","54,000","54,000","55,000","55,000","55,000","55,000","57,000","57,000","59,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","57,000","55,000","55,000","55,000","55,000","55,000","56,300","56,300","56,300","56,300","56,300","56,300","56,300","56,300","56,300","57,300","57,300","57,300","57,300","57,300","57,300","57,300","57,300","57,300","61,300","61,300","63,300","64,300","65,300","67,300","67,300","70,300","70,300","70,300","70,300","70,300","67,300","67,300","67,300","67,300","67,300","67,300","67,300","63,300","59,300","50,300","40,300","40,300","40,300","40,300","40,300","40,300","42,300","40,300","40,300","40,300","40,300","40,300","42,300","42,300","42,000","42,000","42,000","38,000","42,000","42,000","42,000","40,000","37,000","35,000","35,000","32,000","32,000","32,000","32,000","33,000","31,000","31,000","33,000","31,000","30,000","30,000","30,000","30,000","32,000","32,000","32,000","32,000","34,000","35,000","35,000","35,000","35,000","35,000","36,000","35,000","35,000","35,000","37,000","37,000","34,000","35,000","35,000","35,000","35,000","35,000","35,000","37,000","37,000","36,000","36,000","36,000","36,000","36,000","37,000","37,000","37,000","38,000","38,000","38,000","38,000","38,000","39,000","39,000","39,000","39,000","39,000","39,000","39,000","39,000","41,000","41,000","41,000","41,000","41,000","41,000"
대구,"26,000","26,000","25,000","25,000","25,000","24,000","25,000","26,000","26,000","26,000","27,000","27,000","27,000","27,000","27,000","26,000","27,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","28,000","28,000","28,000","28,000","28,000","28,000","27,000","25,000","25,000","25,000","25,000","25,000","25,000","30,000","35,000","36,000","36,000","36,000","36,000","36,000","36,000","35,000","35,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","35,000","35,000","35,000","35,000","35,000","35,000","37,000","37,000","37,000","38,000","38,000","40,000","40,000","40,000","40,000","45,000","46,000","47,000","47,000","47,000","47,000","45,000","47,000","48,000","48,000","52,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","52,000","53,000","55,000","55,000","55,000","55,000","59,000","59,000","59,000","59,000","58,000","58,000","58,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","56,000","56,000","56,000","56,000","55,000","55,000","55,000","55,000","55,000","55,000","55,000","53,000","53,000","53,000","57,000","57,000","57,000","57,000","57,000","57,000","57,000","57,000","57,000","57,000","60,600","60,600","65,300","66,300","68,300","68,300","66,300","67,300","67,300","68,300","68,300","68,300","68,300","68,300","68,300","68,300","68,300","68,300","68,300","63,300","58,300","49,300","45,000","45,000","40,000","40,000","40,000","40,000","42,300","40,300","40,300","41,300","41,300","41,300","43,300","43,300","42,300","42,300","42,300","39,300","40,300","42,300","42,300","39,300","37,300","35,300","35,300","32,300","32,300","32,300","32,300","34,300","32,300","32,300","33,300","31,300","30,300","30,300","30,300","30,300","30,300","32,300","32,300","32,300","32,300","34,300","34,300","34,300","34,300","34,300","36,300","35,300","35,300","35,300","35,300","35,300","34,300","36,300","36,300","36,300","36,300","37,300","36,300","37,300","37,300","36,300","36,300","36,300","36,300","37,300","38,300","38,300","37,300","37,300","38,300","37,300","37,300","37,300","38,300","38,300","39,300","39,300","39,300","39,300","39,300","39,300","40,300","40,300","41,300","41,300","41,300","42,300"
광주,"26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","27,000","26,000","26,000","26,000","26,000","27,000","26,000","27,000","26,000","25,000","26,000","26,000","28,000","27,000","27,000","28,000","27,000","26,000","27,000","26,000","26,000","26,000","25,000","25,000","25,000",-,-,-,-,-,-,-,-,-,-,-,"35,000","35,000","36,000","37,000","37,000","38,000","37,000","37,000","36,000","36,000","37,000","37,000","37,000","35,000","35,000","36,000","36,000","35,000","35,000","35,000","36,000","37,000","38,000","38,000","39,000","39,000","39,000","42,000","43,000","45,000","46,000","47,000","46,000","46,000","45,000","47,000","48,000","48,000","52,000","50,000","50,000","49,000","50,000","50,000","48,000","50,000","52,000","53,000","55,000","55,000","55,000","54,000","55,000","57,000","58,000","60,000","60,000","60,000","59,000","61,000","61,000","61,000","60,000","58,000","58,000","58,000","58,000","57,000","55,000","55,000","55,000","54,600","54,600","55,600","55,600","56,600","55,600","55,600","55,600","55,600","56,600","57,600","58,600","58,600","57,600","57,600","57,600","57,600","57,600","57,600","56,600","60,600","63,600","65,600","67,600","68,600","69,600","66,600","65,300","67,300","69,300","70,300","68,300","68,300","66,300","68,300","70,300","70,300","68,300","66,300","64,300","60,600","50,600","45,600","42,600","41,600","42,600","40,600","41,600","43,600","42,600","40,600","42,600","41,600","42,600","43,600","42,600","41,600","40,600","40,600","38,600","40,600","42,600","42,600","40,600","37,600","35,600","34,600","32,600","31,600","31,600","31,600","34,600","32,600","32,600","32,600","31,300","30,300","29,300","31,300","31,300","31,300","33,300","33,300","32,300","33,300","32,300","32,300","33,300","34,300","35,300","36,300","35,300","35,300","35,300","35,300","35,300","34,300","36,300","37,300","37,300","36,300","37,300","36,300","37,300","37,300","36,300","36,300","37,300","37,300","37,300","38,300","38,300","37,300","37,300","38,300","37,300","37,300","37,300","38,300","38,300","39,300","38,300","38,300","38,300","40,000","40,000","40,000","40,000","41,300","41,300","41,300","42,300"
대전,"26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,100","26,100","26,100","26,100","26,100","26,100","26,000","26,000","26,000","26,000","26,000","25,000","25,000","25,000","26,000","26,000","27,000","27,000","28,000","28,000","28,000","28,000","28,000","27,000","25,000","25,000","25,000","25,000","25,000","27,000","29,000","31,000","33,000","31,000","31,000","33,000","35,000","35,000","33,000","33,000","33,000","34,000","35,000","36,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","34,000","34,000","35,000","35,000","35,000","36,000","37,000","37,000","38,000","39,000","39,000","40,000","40,000","41,000","42,000","42,000","45,000","47,000","47,000","47,000","47,000","44,000","46,000","46,000","53,000","55,000","55,000","53,000","53,000","53,000","53,000","53,000","54,000","62,000","56,000","56,000","56,000","56,000","56,000","56,000","58,000","62,000","61,000","60,000","60,000","60,000","60,000","60,000","60,000","59,000","59,000","59,000","59,000","58,000","57,000","56,000","56,000","55,000","54,000","54,000","54,000","54,000","56,000","55,000","55,000","55,000","55,000","55,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","61,000","63,000","64,000","68,000","69,000","70,000","70,000","70,000","70,000","70,000","73,000","71,000","71,000","67,000","70,000","70,000","70,000","69,000","69,000","68,000","60,000","52,000","42,000","36,000","37,000","37,500","38,500","40,000","40,000","40,000","40,000","41,000","42,500","43,500","44,500","43,500","43,000","43,000","42,000","38,000","38,000","38,000","40,000","40,000","37,000","37,000","35,000","32,500","32,000","33,000","33,000","34,500","33,500","33,500","34,000","31,000","30,000","30,000","30,000","31,000","32,000","32,000","32,000","32,000","33,000","32,000","32,000","33,000","34,000","35,000","36,000","35,000","35,000","35,000","35,000","36,000","35,000","36,000","36,000","35,000","34,000","35,000","35,000","37,000","37,000","36,000","37,000","37,000","36,000","36,000","37,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","39,500","39,500","39,500","40,000","39,000","39,000","39,000","39,000","39,000","39,000","40,000","40,000","40,000","42,000"
