지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
119,수원,2017-01-01 01:00,.1,0,,,.3,0,0,0,96,0,5.9,-.4,1025.6,0,1030,0,,9,,9,,,,4,,7,339,,19,-.2,0,,,,
119,수원,2017-01-01 02:00,-1.1,0,,,0,0,0,0,97,0,5.5,-1.5,1025.3,0,1029.7,0,,9,,9,,,,7,,8,298,,19,-.3,0,,,,
119,수원,2017-01-01 03:00,-1.9,0,,,0,0,0,0,100,0,5.3,-1.9,1025.5,0,1029.9,0,,9,,9,,,0,0,,,209,,19,-.5,0,,,,
119,수원,2017-01-01 04:00,-2.5,0,,,0,0,0,0,100,0,5.1,-2.5,1025.5,0,1029.9,0,,9,,9,,,0,0,,,184,,19,-.7,0,,,,
119,수원,2017-01-01 05:00,-2.5,0,,,.4,0,0,0,100,0,5.1,-2.5,1025,0,1029.4,0,,9,,9,,,0,0,,,167,,19,-.9,0,,,,
119,수원,2017-01-01 06:00,-2.6,0,,,0,0,0,0,100,0,5,-2.6,1024.7,0,1029.1,0,,9,,9,,,4,4,Sc,10,170,,19,-1,0,,,,
119,수원,2017-01-01 07:00,-1.9,0,,,.1,0,0,0,100,0,5.3,-1.9,1025.5,0,1029.9,0,,9,,9,,,7,7,Sc,8,147,,19,-.7,0,,,,
119,수원,2017-01-01 08:00,-1.5,0,,,.6,0,160,0,100,0,5.5,-1.5,1025.7,0,1030.1,0,0,0,0,0,,,8,8,Sc,10,159,,19,-.6,0,,,,
119,수원,2017-01-01 09:00,-.2,0,,,.3,0,0,0,100,0,6,-.2,1026.4,0,1030.8,0,0,0,.09,0,,,9,9,Sc,10,179,,19,-.4,0,,,,
119,수원,2017-01-01 10:00,2.2,0,,,.3,0,0,0,96,0,6.9,1.6,1026.9,0,1031.2,0,0,0,.29,0,,,9,9,Sc,11,275,,19,-.2,0,,,,
