날짜,코로나 확진자,비트코인,코스피,뉴스 개수
2020-01-20,1,9884000.0,2262.639892578125,273
2020-01-21,0,9878000.0,2239.68994140625,432
2020-01-22,0,9887000.0,2267.25,563
2020-01-23,0,9661000.0,2246.1298828125,627
2020-01-24,1,9830000.0,,473
2020-01-25,0,9692000.0,,374
2020-01-26,1,9841000.0,,577
2020-01-27,1,10050000.0,,1109
2020-01-28,0,10282000.0,2176.719970703125,3190
2020-01-29,0,10651000.0,2185.280029296875,2917
2020-01-30,3,10638000.0,2148.0,3175
2020-01-31,4,10682000.0,2119.010009765625,3076
2020-02-01,1,10804000.0,,1218
2020-02-02,3,10838000.0,,2228
2020-02-03,0,10831000.0,2118.8798828125,3945
2020-02-04,1,10595000.0,2157.89990234375,4143
2020-02-05,5,10869000.0,2165.6298828125,4220
2020-02-06,3,11331000.0,2227.93994140625,3827
2020-02-07,0,11537000.0,2211.949951171875,3083
2020-02-08,0,11463000.0,,1034
2020-02-09,3,11725000.0,,1887
2020-02-10,1,11542000.0,2201.070068359375,3252
2020-02-11,0,11481000.0,2223.1201171875,3022
2020-02-12,0,11827000.0,2238.3798828125,3145
2020-02-13,0,11759000.0,2232.9599609375,3050
2020-02-14,0,11816000.0,2243.590087890625,2164
2020-02-15,0,11856000.0,,889
2020-02-16,2,11415000.0,,1741
2020-02-17,0,11271000.0,2242.169921875,3018
2020-02-18,2,11423000.0,2208.8798828125,3223
2020-02-19,34,11855000.0,2210.340087890625,3762
2020-02-20,16,11460000.0,2195.5,4354
2020-02-21,74,11536000.0,2162.840087890625,4613
2020-02-22,190,11489000.0,,2365
2020-02-23,210,11701000.0,,3777
2020-02-24,207,11660000.0,2079.0400390625,6873
2020-02-25,130,11393000.0,2103.610107421875,7502
2020-02-26,253,11022000.0,2076.77001953125,7766
2020-02-27,449,10743000.0,2054.889892578125,7697
2020-02-28,427,10499000.0,1987.010009765625,6561
2020-02-29,909,10436000.0,,2383
2020-03-01,595,10380000.0,,3997
2020-03-02,686,10573000.0,2002.510009765625,7814
2020-03-03,600,10498000.0,2014.1500244140625,7488
2020-03-04,516,10468000.0,2059.330078125,7700
2020-03-05,438,10763000.0,2085.260009765625,7341
2020-03-06,518,10794000.0,2040.219970703125,5608
2020-03-07,483,10870000.0,,2071
2020-03-08,367,10398000.0,,3470
2020-03-09,248,9446000.0,1954.77001953125,7138
2020-03-10,131,9693000.0,1962.9300537109373,7604
2020-03-11,242,9370000.0,1908.27001953125,7469
2020-03-12,114,7700000.0,1834.3299560546875,7516
2020-03-13,110,6997000.0,1771.43994140625,5658
2020-03-14,107,6860000.0,,1879
2020-03-15,76,6816000.0,,3681
2020-03-16,74,6391000.0,1714.8599853515625,7523
2020-03-17,84,6564000.0,1672.43994140625,7414
2020-03-18,93,6668000.0,1591.199951171875,7783
