조건별분석,,,,
[검색조건],,,,
,분류: 지상,,,
,요소 : 습도,,,
,검색구분 : 일,,,
,지역/지점명 : 목포,,,
,기간 : 2011 ~ 2021년 01 ~ 12월 01 ~ 31일,,,
,,,,
,,,,
"	",,,,
"	",,,,
"	",,,,
"	",,,,
"		",,,,
"	",,,,
"		지점번호",지점명,일시,평균습도(%rh),최저습도(%rh)
"		165",목포,2012.10.9,76.8,54
"		165",목포,2012.10.10,83.9,70
"		165",목포,2012.10.11,56.4,39
"		165",목포,2012.10.12,60.8,37
"		165",목포,2012.10.13,70,44
"		165",목포,2012.10.14,78.4,51
"		165",목포,2012.10.15,62.9,26
"		165",목포,2012.10.16,68.3,48
"		165",목포,2012.10.17,77.6,59
"		165",목포,2012.10.18,53.6,25
"		165",목포,2012.10.19,65.9,45
"		165",목포,2012.10.20,73.5,27
"		165",목포,2012.10.21,69.5,52
"		165",목포,2012.10.22,79.9,57
"		165",목포,2012.10.23,64,48
"		165",목포,2012.10.24,75,32
"		165",목포,2012.10.25,70,35
"		165",목포,2012.10.26,68.8,51
"		165",목포,2012.10.27,93.9,76
"		165",목포,2012.10.28,82.9,72
"		165",목포,2012.10.29,79.9,59
"		165",목포,2012.10.30,69.1,54
"		165",목포,2012.10.31,69,49
"		165",목포,2012.11.1,61,50
"		165",목포,2012.11.2,66.3,40
"		165",목포,2012.11.3,59.8,41
"		165",목포,2012.11.4,81.1,64
"		165",목포,2012.11.5,81.5,47
"		165",목포,2012.11.6,71.8,66
"		165",목포,2012.11.7,73,57
"		165",목포,2012.11.8,83.3,63
"		165",목포,2012.11.9,85.8,55
"		165",목포,2012.11.10,73.6,54
"		165",목포,2012.11.11,70,47
"		165",목포,2012.11.12,58.1,48
"		165",목포,2012.11.13,65.9,51
"		165",목포,2012.11.14,76.4,59
"		165",목포,2012.11.15,72.9,57
"		165",목포,2012.11.16,83.1,65
"		165",목포,2012.11.17,78.9,57
"		165",목포,2012.11.18,71.6,54
"		165",목포,2012.11.19,76.6,58
"		165",목포,2012.11.20,66.9,46
"		165",목포,2012.11.21,61.9,47
"		165",목포,2012.11.22,71.5,43
"		165",목포,2012.11.23,72.4,62
"		165",목포,2012.11.24,69.8,56
"		165",목포,2012.11.25,77.3,56
"		165",목포,2012.11.26,75.8,48
"		165",목포,2012.11.27,71.6,56
"		165",목포,2012.11.28,75.5,59
"		165",목포,2012.11.29,70.6,55
"		165",목포,2012.11.30,57.5,46
"		165",목포,2012.12.1,57.8,28
"		165",목포,2012.12.2,75.5,52
"		165",목포,2012.12.3,83.6,52
"		165",목포,2012.12.4,77.8,51
"		165",목포,2012.12.5,86,55
"		165",목포,2012.12.6,84.5,69
"		165",목포,2012.12.7,83.1,59
"		165",목포,2012.12.8,85.9,53
"		165",목포,2012.12.9,83.9,63
"		165",목포,2012.12.10,77.3,61
"		165",목포,2012.12.11,77.8,67
"		165",목포,2012.12.12,70.3,57
"		165",목포,2012.12.13,61.9,43
"		165",목포,2012.12.14,97.3,73
"		165",목포,2012.12.15,94.5,80
"		165",목포,2012.12.16,87.5,66
"		165",목포,2012.12.17,80.6,66
"		165",목포,2012.12.18,77.9,59
"		165",목포,2012.12.19,78.1,63
"		165",목포,2012.12.20,67.6,48
"		165",목포,2012.12.21,91.1,54
"		165",목포,2012.12.22,79.1,68
"		165",목포,2012.12.23,93.4,64
"		165",목포,2012.12.24,82.5,71
"		165",목포,2012.12.25,83.1,64
"		165",목포,2012.12.26,59.4,36
"		165",목포,2012.12.27,56.6,37
"		165",목포,2012.12.28,97.5,84
"		165",목포,2012.12.29,94.5,79
"		165",목포,2012.12.30,91.5,71
"		165",목포,2012.12.31,88.8,67
"		165",목포,2013.1.1,83.1,60
"		165",목포,2013.1.2,80.3,65
"		165",목포,2013.1.3,80.5,60
"		165",목포,2013.1.4,75.5,57
"		165",목포,2013.1.5,71.9,43
"		165",목포,2013.1.6,78,65
"		165",목포,2013.1.7,69.4,41
"		165",목포,2013.1.8,72,48
"		165",목포,2013.1.9,84,68
"		165",목포,2013.1.10,63.4,35
"		165",목포,2013.1.11,64.1,47
"		165",목포,2013.1.12,82.5,53
"		165",목포,2013.1.13,92.1,76
"		165",목포,2013.1.14,83.5,69
"		165",목포,2013.1.15,77.1,48
"		165",목포,2013.1.16,82.8,70
"		165",목포,2013.1.17,73.8,62
"		165",목포,2013.1.18,76.4,60
"		165",목포,2013.1.19,71.8,56
"		165",목포,2013.1.20,78.9,56
"		165",목포,2013.1.21,98.6,86
"		165",목포,2013.1.22,95.6,89
"		165",목포,2013.1.23,92.5,79
"		165",목포,2013.1.24,83.3,65
"		165",목포,2013.1.25,76.4,56
"		165",목포,2013.1.26,79.9,60
"		165",목포,2013.1.27,77,56
"		165",목포,2013.1.28,74.4,59
"		165",목포,2013.1.29,83.5,65
"		165",목포,2013.1.30,82.8,54
"		165",목포,2013.1.31,74.4,52
"		165",목포,2013.2.1,99.4,98
"		165",목포,2013.2.2,78.1,55
"		165",목포,2013.2.3,76.6,52
"		165",목포,2013.2.4,90.6,76
"		165",목포,2013.2.5,96.5,85
"		165",목포,2013.2.6,90.6,72
"		165",목포,2013.2.7,81.4,69
"		165",목포,2013.2.8,76.6,63
"		165",목포,2013.2.9,77.3,64
"		165",목포,2013.2.10,79.5,62
"		165",목포,2013.2.11,70.8,54
"		165",목포,2013.2.12,83.4,65
"		165",목포,2013.2.13,77.4,55
"		165",목포,2013.2.14,77.8,55
"		165",목포,2013.2.15,68.6,35
"		165",목포,2013.2.16,64.3,48
"		165",목포,2013.2.17,80.5,52
"		165",목포,2013.2.18,85.6,66
"		165",목포,2013.2.19,57.6,36
"		165",목포,2013.2.20,58.5,28
"		165",목포,2013.2.21,63.6,29
"		165",목포,2013.2.22,79.6,59
"		165",목포,2013.2.23,62.3,37
"		165",목포,2013.2.24,67.1,37
"		165",목포,2013.2.25,51.1,20
"		165",목포,2013.2.26,77.9,53
"		165",목포,2013.2.27,90.1,62
"		165",목포,2013.2.28,70.4,33
"		165",목포,2013.3.1,81.3,69
"		165",목포,2013.3.2,73,65
"		165",목포,2013.3.3,74.4,51
"		165",목포,2013.3.4,84.9,62
"		165",목포,2013.3.5,81.5,32
"		165",목포,2013.3.6,80.8,48
"		165",목포,2013.3.7,84,50
"		165",목포,2013.3.8,84.1,45
"		165",목포,2013.3.9,75.4,36
"		165",목포,2013.3.10,69.4,55
"		165",목포,2013.3.11,66,39
"		165",목포,2013.3.12,71.4,38
"		165",목포,2013.3.13,89.5,78
"		165",목포,2013.3.14,77.1,64
"		165",목포,2013.3.15,84.4,55
"		165",목포,2013.3.16,77.9,12
"		165",목포,2013.3.17,88.3,49
"		165",목포,2013.3.18,95.8,84
"		165",목포,2013.3.19,87.6,65
"		165",목포,2013.3.20,81.9,61
"		165",목포,2013.3.21,68.3,43
"		165",목포,2013.3.22,83.6,66
"		165",목포,2013.3.23,73.4,26
"		165",목포,2013.3.24,82,67
"		165",목포,2013.3.25,67.5,46
"		165",목포,2013.3.26,66,42
"		165",목포,2013.3.27,68.9,37
"		165",목포,2013.3.28,73.5,23
"		165",목포,2013.3.29,62.1,34
"		165",목포,2013.3.30,68.8,41
"		165",목포,2013.3.31,75.5,44
"		165",목포,2013.4.1,66.6,30
"		165",목포,2013.4.2,86.3,77
"		165",목포,2013.4.3,70.4,18
"		165",목포,2013.4.4,60.8,23
"		165",목포,2013.4.5,75.5,50
"		165",목포,2013.4.6,90.6,66
"		165",목포,2013.4.7,71.6,58
"		165",목포,2013.4.8,68.4,32
"		165",목포,2013.4.9,64.3,24
"		165",목포,2013.4.10,60.1,42
"		165",목포,2013.4.11,65.5,32
"		165",목포,2013.4.12,64.3,33
"		165",목포,2013.4.13,60.6,30
"		165",목포,2013.4.14,65.5,29
"		165",목포,2013.4.15,57.9,15
"		165",목포,2013.4.16,84.6,61
"		165",목포,2013.4.17,93.1,80
"		165",목포,2013.4.18,84.8,54
"		165",목포,2013.4.19,66.3,42
"		165",목포,2013.4.20,88.4,73
"		165",목포,2013.4.21,72.6,31
"		165",목포,2013.4.22,58.5,31
"		165",목포,2013.4.23,91.3,58
"		165",목포,2013.4.24,92.6,68
"		165",목포,2013.4.25,94,80
"		165",목포,2013.4.26,76.5,51
"		165",목포,2013.4.27,63.5,22
"		165",목포,2013.4.28,71.5,55
"		165",목포,2013.4.29,93.3,78
"		165",목포,2013.4.30,75.9,24
"		165",목포,2013.5.1,85,65
"		165",목포,2013.5.2,87.4,59
"		165",목포,2013.5.3,79.3,40
"		165",목포,2013.5.4,78.4,37
"		165",목포,2013.5.5,76.4,39
"		165",목포,2013.5.6,64.9,28
"		165",목포,2013.5.7,73.3,53
"		165",목포,2013.5.8,63.5,24
"		165",목포,2013.5.9,82.1,59
"		165",목포,2013.5.10,99,95
"		165",목포,2013.5.11,89,69
"		165",목포,2013.5.12,83.8,59
"		165",목포,2013.5.13,67.3,23
"		165",목포,2013.5.14,68.8,41
"		165",목포,2013.5.15,92.6,76
"		165",목포,2013.5.16,82.1,43
"		165",목포,2013.5.17,72.9,45
"		165",목포,2013.5.18,79.8,55
"		165",목포,2013.5.19,99,96
"		165",목포,2013.5.20,96.4,87
"		165",목포,2013.5.21,72.5,35
"		165",목포,2013.5.22,78.6,49
"		165",목포,2013.5.23,82.9,51
"		165",목포,2013.5.24,81.4,44
"		165",목포,2013.5.25,71.8,28
"		165",목포,2013.5.26,79.8,66
"		165",목포,2013.5.27,95.4,68
"		165",목포,2013.5.28,98,89
"		165",목포,2013.5.29,98.8,92
"		165",목포,2013.5.30,88.6,60
"		165",목포,2013.5.31,86.5,66
"		165",목포,2013.6.1,84.6,59
"		165",목포,2013.6.2,90.5,65
"		165",목포,2013.6.3,91.1,65
"		165",목포,2013.6.4,78,46
"		165",목포,2013.6.5,84.9,63
"		165",목포,2013.6.6,83.1,62
"		165",목포,2013.6.7,79.1,55
"		165",목포,2013.6.8,72.4,55
"		165",목포,2013.6.9,67.3,46
"		165",목포,2013.6.10,77.3,65
"		165",목포,2013.6.11,91.1,67
"		165",목포,2013.6.12,97.8,89
"		165",목포,2013.6.13,87.5,69
"		165",목포,2013.6.14,95.4,80
"		165",목포,2013.6.15,87.9,60
"		165",목포,2013.6.16,84,58
"		165",목포,2013.6.17,86.6,62
"		165",목포,2013.6.18,99,99
"		165",목포,2013.6.19,90.8,62
"		165",목포,2013.6.20,87,64
"		165",목포,2013.6.21,85.3,52
"		165",목포,2013.6.22,89.1,65
"		165",목포,2013.6.23,97.5,92
"		165",목포,2013.6.24,79.9,56
"		165",목포,2013.6.25,92.8,73
"		165",목포,2013.6.26,86.8,62
"		165",목포,2013.6.27,88.4,67
"		165",목포,2013.6.28,86.6,74
"		165",목포,2013.6.29,85,63
"		165",목포,2013.6.30,84.8,63
"		165",목포,2013.7.1,84,66
"		165",목포,2013.7.2,91.9,83
"		165",목포,2013.7.3,98,84
"		165",목포,2013.7.4,99,99
"		165",목포,2013.7.5,99.9,89
"		165",목포,2013.7.6,98.8,91
"		165",목포,2013.7.7,99.9,98
"		165",목포,2013.7.8,96.8,86
"		165",목포,2013.7.9,97,84
"		165",목포,2013.7.10,94.5,80
"		165",목포,2013.7.11,89.8,68
"		165",목포,2013.7.12,92.5,76
"		165",목포,2013.7.13,86.9,69
"		165",목포,2013.7.14,89.8,79
"		165",목포,2013.7.15,86.8,68
"		165",목포,2013.7.16,85.9,66
"		165",목포,2013.7.17,84.8,65
"		165",목포,2013.7.18,88.3,66
"		165",목포,2013.7.19,84.3,60
"		165",목포,2013.7.20,82.3,58
"		165",목포,2013.7.21,91.8,80
"		165",목포,2013.7.22,91.4,73
"		165",목포,2013.7.23,93.6,80
"		165",목포,2013.7.24,97.4,90
"		165",목포,2013.7.25,91.4,67
"		165",목포,2013.7.26,93.4,75
"		165",목포,2013.7.27,92.8,72
"		165",목포,2013.7.28,92.4,70
"		165",목포,2013.7.29,98.9,87
"		165",목포,2013.7.30,93.6,76
"		165",목포,2013.7.31,95.3,76
"		165",목포,2013.8.1,91.6,75
"		165",목포,2013.8.2,93.1,78
"		165",목포,2013.8.3,94.3,78
"		165",목포,2013.8.4,94.6,74
"		165",목포,2013.8.5,93.4,79
"		165",목포,2013.8.6,90.9,73
"		165",목포,2013.8.7,90.6,73
"		165",목포,2013.8.8,90.8,74
"		165",목포,2013.8.9,85,52
"		165",목포,2013.8.10,83.4,55
"		165",목포,2013.8.11,86.8,55
"		165",목포,2013.8.12,84.5,65
"		165",목포,2013.8.13,83.6,60
"		165",목포,2013.8.14,85,64
"		165",목포,2013.8.15,85.1,63
"		165",목포,2013.8.16,82.4,56
"		165",목포,2013.8.17,78.9,57
"		165",목포,2013.8.18,84.5,60
"		165",목포,2013.8.19,82.3,57
"		165",목포,2013.8.20,76.5,55
"		165",목포,2013.8.21,78.3,54
"		165",목포,2013.8.22,86.1,58
"		165",목포,2013.8.23,97.9,88
"		165",목포,2013.8.24,100,100
"		165",목포,2013.8.25,85.4,60
"		165",목포,2013.8.26,85,54
"		165",목포,2013.8.27,84.6,46
"		165",목포,2013.8.28,79.9,46
"		165",목포,2013.8.29,90.6,72
"		165",목포,2013.8.30,94.6,75
"		165",목포,2013.8.31,75.3,56
"		165",목포,2013.9.1,80.5,60
"		165",목포,2013.9.2,68.3,44
"		165",목포,2013.9.3,71.3,45
"		165",목포,2013.9.4,67.5,50
"		165",목포,2013.9.5,80.3,65
"		165",목포,2013.9.6,92.4,77
"		165",목포,2013.9.7,92,73
"		165",목포,2013.9.8,86.1,55
"		165",목포,2013.9.9,82.6,57
"		165",목포,2013.9.10,75.4,48
"		165",목포,2013.9.11,95.3,78
"		165",목포,2013.9.12,93.6,83
"		165",목포,2013.9.13,91.6,75
"		165",목포,2013.9.14,99,87
"		165",목포,2013.9.15,92.1,76
"		165",목포,2013.9.16,75.5,47
"		165",목포,2013.9.17,81.8,60
"		165",목포,2013.9.18,80.4,56
"		165",목포,2013.9.19,76.4,46
"		165",목포,2013.9.20,86,60
"		165",목포,2013.9.21,87.8,55
"		165",목포,2013.9.22,81.3,52
"		165",목포,2013.9.23,74.3,58
"		165",목포,2013.9.24,90.5,67
"		165",목포,2013.9.25,77.3,59
"		165",목포,2013.9.26,57.9,35
"		165",목포,2013.9.27,60,40
"		165",목포,2013.9.28,80.9,63
"		165",목포,2013.9.29,96.8,85
"		165",목포,2013.9.30,90.9,71
"		165",목포,2013.10.1,92.8,64
"		165",목포,2013.10.2,87.4,70
"		165",목포,2013.10.3,69,37
"		165",목포,2013.10.4,78.4,29
"		165",목포,2013.10.5,75.6,51
"		165",목포,2013.10.6,83.4,71
"		165",목포,2013.10.7,86.6,70
"		165",목포,2013.10.8,95.5,85
"		165",목포,2013.10.9,92,77
"		165",목포,2013.10.10,98.8,92
"		165",목포,2013.10.11,84.5,58
"		165",목포,2013.10.12,61.1,32
"		165",목포,2013.10.13,65.5,26
"		165",목포,2013.10.14,80.8,61
"		165",목포,2013.10.15,86.6,67
"		165",목포,2013.10.16,71.1,46
"		165",목포,2013.10.17,72.4,49
"		165",목포,2013.10.18,69.9,45
"		165",목포,2013.10.19,71.9,46
"		165",목포,2013.10.20,79.4,55
"		165",목포,2013.10.21,87.4,61
"		165",목포,2013.10.22,82.4,53
"		165",목포,2013.10.23,77.3,47
"		165",목포,2013.10.24,81.6,63
"		165",목포,2013.10.25,68.4,49
"		165",목포,2013.10.26,72.4,56
"		165",목포,2013.10.27,73.6,48
"		165",목포,2013.10.28,77.3,45
"		165",목포,2013.10.29,79.5,40
"		165",목포,2013.10.30,79.9,51
"		165",목포,2013.10.31,81.8,58
"		165",목포,2013.11.1,75.9,51
"		165",목포,2013.11.2,85.8,63
"		165",목포,2013.11.3,91.8,62
"		165",목포,2013.11.4,85.5,59
"		165",목포,2013.11.5,79.1,48
"		165",목포,2013.11.6,86,70
"		165",목포,2013.11.7,78.9,42
"		165",목포,2013.11.8,63.3,35
"		165",목포,2013.11.9,89.5,63
"		165",목포,2013.11.10,72.5,49
"		165",목포,2013.11.11,65.5,44
"		165",목포,2013.11.12,70.1,47
"		165",목포,2013.11.13,73.6,48
"		165",목포,2013.11.14,86.4,60
"		165",목포,2013.11.15,86.9,60
"		165",목포,2013.11.16,78.5,51
"		165",목포,2013.11.17,68.6,47
"		165",목포,2013.11.18,87.5,59
"		165",목포,2013.11.19,89.1,63
"		165",목포,2013.11.20,73,54
"		165",목포,2013.11.21,76,61
"		165",목포,2013.11.22,71.8,56
"		165",목포,2013.11.23,85.1,60
"		165",목포,2013.11.24,87.5,60
"		165",목포,2013.11.25,78.1,61
"		165",목포,2013.11.26,67.5,52
"		165",목포,2013.11.27,83.3,47
"		165",목포,2013.11.28,94.1,61
"		165",목포,2013.11.29,90.6,73
"		165",목포,2013.11.30,88.5,62
"		165",목포,2013.12.1,87.1,64
"		165",목포,2013.12.2,74.8,54
"		165",목포,2013.12.3,79.9,60
"		165",목포,2013.12.4,87.4,62
"		165",목포,2013.12.5,95.6,79
"		165",목포,2013.12.6,72.4,47
"		165",목포,2013.12.7,71.4,44
"		165",목포,2013.12.8,74.4,34
"		165",목포,2013.12.9,87,66
"		165",목포,2013.12.10,67.5,59
"		165",목포,2013.12.11,81.5,51
"		165",목포,2013.12.12,80.8,50
"		165",목포,2013.12.13,80.1,52
"		165",목포,2013.12.14,67.5,51
"		165",목포,2013.12.15,70.6,44
"		165",목포,2013.12.16,59.5,42
"		165",목포,2013.12.17,69.8,53
"		165",목포,2013.12.18,79.6,64
"		165",목포,2013.12.19,83.6,60
"		165",목포,2013.12.20,84.6,67
"		165",목포,2013.12.21,83.6,71
"		165",목포,2013.12.22,77.3,59
"		165",목포,2013.12.23,77,59
"		165",목포,2013.12.24,80.6,58
"		165",목포,2013.12.25,85,69
"		165",목포,2013.12.26,88.5,64
"		165",목포,2013.12.27,77.9,61
"		165",목포,2013.12.28,90.8,74
"		165",목포,2013.12.29,85.6,56
"		165",목포,2013.12.30,74.4,54
"		165",목포,2013.12.31,74.3,50
"		165",목포,2014.1.1,69.1,35
"		165",목포,2014.1.2,76,32
"		165",목포,2014.1.3,63.4,44
"		165",목포,2014.1.4,76.1,54
"		165",목포,2014.1.5,73.3,46
"		165",목포,2014.1.6,72.6,41
"		165",목포,2014.1.7,69.9,45
"		165",목포,2014.1.8,85.4,64
"		165",목포,2014.1.9,60.9,48
"		165",목포,2014.1.10,77.6,53
"		165",목포,2014.1.11,76.9,50
"		165",목포,2014.1.12,77,64
"		165",목포,2014.1.13,59.6,40
"		165",목포,2014.1.14,60.3,37
"		165",목포,2014.1.15,69.5,52
"		165",목포,2014.1.16,76.1,50
"		165",목포,2014.1.17,84.3,57
"		165",목포,2014.1.18,81.8,60
"		165",목포,2014.1.19,68.5,28
"		165",목포,2014.1.20,78.8,58
"		165",목포,2014.1.21,84.1,66
"		165",목포,2014.1.22,74.6,57
"		165",목포,2014.1.23,71.9,28
"		165",목포,2014.1.24,81.8,58
"		165",목포,2014.1.25,88.4,75
"		165",목포,2014.1.26,74.6,55
"		165",목포,2014.1.27,77.1,49
"		165",목포,2014.1.28,85.8,66
"		165",목포,2014.1.29,77.1,45
"		165",목포,2014.1.30,100,100
"		165",목포,2014.1.31,77.3,34
"		165",목포,2014.2.1,88.4,66
"		165",목포,2014.2.2,100,100
"		165",목포,2014.2.3,73.4,54
"		165",목포,2014.2.4,65.4,45
"		165",목포,2014.2.5,50,35
"		165",목포,2014.2.6,76.8,41
"		165",목포,2014.2.7,79.5,56
"		165",목포,2014.2.8,94.8,83
"		165",목포,2014.2.9,82.4,75
"		165",목포,2014.2.10,83.5,70
"		165",목포,2014.2.11,75.4,46
"		165",목포,2014.2.12,80.9,61
"		165",목포,2014.2.13,80.8,55
"		165",목포,2014.2.14,67.4,38
"		165",목포,2014.2.15,74,44
"		165",목포,2014.2.16,77.8,50
"		165",목포,2014.2.17,91.1,67
"		165",목포,2014.2.18,77.6,58
"		165",목포,2014.2.19,65.4,45
"		165",목포,2014.2.20,77,50
"		165",목포,2014.2.21,66.8,34
"		165",목포,2014.2.22,71.6,39
"		165",목포,2014.2.23,71.5,41
"		165",목포,2014.2.24,75.3,42
"		165",목포,2014.2.25,73,34
"		165",목포,2014.2.26,86.6,62
"		165",목포,2014.2.27,88,52
"		165",목포,2014.2.28,90.8,75
"		165",목포,2014.3.1,96.6,84
"		165",목포,2014.3.2,72.4,37
"		165",목포,2014.3.3,60,33
"		165",목포,2014.3.4,71.1,53
"		165",목포,2014.3.5,62.9,34
"		165",목포,2014.3.6,53.5,23
"		165",목포,2014.3.7,56.9,23
"		165",목포,2014.3.8,73.6,48
"		165",목포,2014.3.9,71.9,47
"		165",목포,2014.3.10,71.3,53
"		165",목포,2014.3.11,70.1,28
"		165",목포,2014.3.12,93.9,77
"		165",목포,2014.3.13,94.5,89
"		165",목포,2014.3.14,80.9,57
"		165",목포,2014.3.15,82.1,48
"		165",목포,2014.3.16,85.6,59
"		165",목포,2014.3.17,90.4,57
"		165",목포,2014.3.18,97.4,78
"		165",목포,2014.3.19,91.3,60
"		165",목포,2014.3.20,74.6,56
"		165",목포,2014.3.21,67.3,37
"		165",목포,2014.3.22,79.9,56
"		165",목포,2014.3.23,73.6,35
"		165",목포,2014.3.24,72.5,45
"		165",목포,2014.3.25,96,75
"		165",목포,2014.3.26,99.6,91
"		165",목포,2014.3.27,82,48
"		165",목포,2014.3.28,75.5,36
"		165",목포,2014.3.29,99.5,77
"		165",목포,2014.3.30,97.3,80
"		165",목포,2014.3.31,91,66
"		165",목포,2014.4.1,73.4,37
"		165",목포,2014.4.2,69.1,35
"		165",목포,2014.4.3,79.5,40
"		165",목포,2014.4.4,68.1,36
"		165",목포,2014.4.5,68,32
"		165",목포,2014.4.6,61.5,36
"		165",목포,2014.4.7,69.8,22
"		165",목포,2014.4.8,66,28
"		165",목포,2014.4.9,91,74
"		165",목포,2014.4.10,89,65
"		165",목포,2014.4.11,76.1,46
"		165",목포,2014.4.12,71.9,45
"		165",목포,2014.4.13,92.1,76
"		165",목포,2014.4.14,73.9,20
"		165",목포,2014.4.15,85.9,60
"		165",목포,2014.4.16,69.8,29
"		165",목포,2014.4.17,82,46
"		165",목포,2014.4.18,100,94
"		165",목포,2014.4.19,80.5,48
"		165",목포,2014.4.20,70.5,50
"		165",목포,2014.4.21,79.1,47
"		165",목포,2014.4.22,75.4,41
"		165",목포,2014.4.23,65.8,19
"		165",목포,2014.4.24,56.9,19
"		165",목포,2014.4.25,52.4,25
"		165",목포,2014.4.26,67.5,47
"		165",목포,2014.4.27,96.4,83
"		165",목포,2014.4.28,97.8,87
"		165",목포,2014.4.29,100,99
"		165",목포,2014.4.30,88.9,72
"		165",목포,2014.5.1,82.5,49
"		165",목포,2014.5.2,88.5,63
"		165",목포,2014.5.3,77.5,52
"		165",목포,2014.5.4,78.9,40
"		165",목포,2014.5.5,60,36
"		165",목포,2014.5.6,59.1,21
"		165",목포,2014.5.7,65.6,32
"		165",목포,2014.5.8,92,67
"		165",목포,2014.5.9,71.9,35
"		165",목포,2014.5.10,54.9,30
"		165",목포,2014.5.11,78.8,48
"		165",목포,2014.5.12,86.9,58
"		165",목포,2014.5.13,78.6,54
"		165",목포,2014.5.14,96,85
"		165",목포,2014.5.15,88.3,65
"		165",목포,2014.5.16,77.9,52
"		165",목포,2014.5.17,65.6,21
"		165",목포,2014.5.18,78.3,45
"		165",목포,2014.5.19,73.3,29
"		165",목포,2014.5.20,97,78
"		165",목포,2014.5.21,95.6,80
"		165",목포,2014.5.22,88.4,65
"		165",목포,2014.5.23,86.9,69
"		165",목포,2014.5.24,84.5,61
"		165",목포,2014.5.25,96.5,81
"		165",목포,2014.5.26,80.5,37
"		165",목포,2014.5.27,83,45
"		165",목포,2014.5.28,89,59
"		165",목포,2014.5.29,85,39
"		165",목포,2014.5.30,64.6,39
"		165",목포,2014.5.31,76.5,54
"		165",목포,2014.6.1,73.3,50
"		165",목포,2014.6.2,90.6,73
"		165",목포,2014.6.3,99.9,98
"		165",목포,2014.6.4,92,65
"		165",목포,2014.6.5,88,70
"		165",목포,2014.6.6,88,66
"		165",목포,2014.6.7,92.5,70
"		165",목포,2014.6.8,90.1,70
"		165",목포,2014.6.9,93,82
"		165",목포,2014.6.10,91.1,70
"		165",목포,2014.6.11,89.4,63
"		165",목포,2014.6.12,93.5,79
"		165",목포,2014.6.13,91.1,71
"		165",목포,2014.6.14,89.1,56
"		165",목포,2014.6.15,91.5,71
"		165",목포,2014.6.16,91.3,67
"		165",목포,2014.6.17,94.6,78
"		165",목포,2014.6.18,93,63
"		165",목포,2014.6.19,91.9,68
"		165",목포,2014.6.20,87.1,72
"		165",목포,2014.6.21,94.8,81
"		165",목포,2014.6.22,96.3,81
"		165",목포,2014.6.23,95.4,76
"		165",목포,2014.6.24,94.1,80
"		165",목포,2014.6.25,92.5,69
"		165",목포,2014.6.26,92.1,71
"		165",목포,2014.6.27,86.1,62
"		165",목포,2014.6.28,91.8,69
"		165",목포,2014.6.29,88,69
"		165",목포,2014.6.30,89.5,61
"		165",목포,2014.7.1,89.8,71
"		165",목포,2014.7.2,96,78
"		165",목포,2014.7.3,100,100
"		165",목포,2014.7.4,99.4,90
"		165",목포,2014.7.5,95.3,85
"		165",목포,2014.7.6,99.1,91
"		165",목포,2014.7.7,97.9,89
"		165",목포,2014.7.8,96.6,83
"		165",목포,2014.7.9,93.6,76
"		165",목포,2014.7.10,95.4,77
"		165",목포,2014.7.11,89.5,64
"		165",목포,2014.7.12,93.8,63
"		165",목포,2014.7.13,98,85
"		165",목포,2014.7.14,94.8,78
"		165",목포,2014.7.15,99.9,96
"		165",목포,2014.7.16,96.8,84
"		165",목포,2014.7.17,100,96
"		165",목포,2014.7.18,100,97
"		165",목포,2014.7.19,96,75
"		165",목포,2014.7.20,95.9,85
"		165",목포,2014.7.21,96.4,82
"		165",목포,2014.7.22,94.8,79
"		165",목포,2014.7.23,95.4,82
"		165",목포,2014.7.24,98.3,88
"		165",목포,2014.7.25,93.1,71
"		165",목포,2014.7.26,93.6,78
"		165",목포,2014.7.27,90.3,61
"		165",목포,2014.7.28,97.3,85
"		165",목포,2014.7.29,93,76
"		165",목포,2014.7.30,85.1,67
"		165",목포,2014.7.31,80.5,59
"		165",목포,2014.8.1,86.1,72
"		165",목포,2014.8.2,97.9,73
"		165",목포,2014.8.3,100,100
"		165",목포,2014.8.4,100,100
"		165",목포,2014.8.5,94.9,76
"		165",목포,2014.8.6,95.4,76
"		165",목포,2014.8.7,99.9,96
"		165",목포,2014.8.8,97.6,77
"		165",목포,2014.8.9,86.9,74
"		165",목포,2014.8.10,94.4,75
"		165",목포,2014.8.11,90,70
"		165",목포,2014.8.12,94,72
"		165",목포,2014.8.13,98.8,91
"		165",목포,2014.8.14,100,99
"		165",목포,2014.8.15,95.6,84
"		165",목포,2014.8.16,92.9,77
"		165",목포,2014.8.17,98.8,92
"		165",목포,2014.8.18,100,94
"		165",목포,2014.8.19,99.6,95
"		165",목포,2014.8.20,99.6,92
"		165",목포,2014.8.21,98,83
"		165",목포,2014.8.22,93.5,74
"		165",목포,2014.8.23,91.3,71
"		165",목포,2014.8.24,99.8,96
"		165",목포,2014.8.25,99.9,93
"		165",목포,2014.8.26,98.6,89
"		165",목포,2014.8.27,98.1,88
"		165",목포,2014.8.28,100,97
"		165",목포,2014.8.29,94.8,80
"		165",목포,2014.8.30,91.1,62
"		165",목포,2014.8.31,95.6,76
"		165",목포,2014.9.1,86.9,56
"		165",목포,2014.9.2,97.6,88
"		165",목포,2014.9.3,99.5,94
"		165",목포,2014.9.4,93.3,76
"		165",목포,2014.9.5,89.1,64
"		165",목포,2014.9.6,93,71
"		165",목포,2014.9.7,94.6,79
"		165",목포,2014.9.8,92.1,64
