조건별분석,,,,,
[검색조건],,,,,
,분류: 지상,,,,
,요소 : 강수량,,,,
,검색구분 : 일,,,,
,지역/지점명 : 목포,,,,
,기간 : 2011 ~ 2021년 01 ~ 12월 01 ~ 31일,,,,
,,,,,
,,,,,
"	165",목포,2011.5.22,0.5,0.5,22:52
"	165",목포,2011.5.23,11.5,2,0:43
"	165",목포,2011.5.24,,,
"	165",목포,2011.5.25,0,0,
"	165",목포,2011.5.26,4.5,2,7:35
"	165",목포,2011.5.27,,,
"	165",목포,2011.5.28,,,
"	165",목포,2011.5.29,,,
"	165",목포,2011.5.30,,,
"	165",목포,2011.5.31,0,0,
"	165",목포,2011.6.1,,,
"	165",목포,2011.6.2,,,
"	165",목포,2011.6.3,,,
"	165",목포,2011.6.4,,,
"	165",목포,2011.6.5,,,
"	165",목포,2011.6.6,,,
"	165",목포,2011.6.7,,,
"	165",목포,2011.6.8,,,
"	165",목포,2011.6.9,0.1,0.1,
"	165",목포,2011.6.10,17,5.5,10:01
"	165",목포,2011.6.11,1,1,23:35
"	165",목포,2011.6.12,,,
"	165",목포,2011.6.13,,,
"	165",목포,2011.6.14,,,
"	165",목포,2011.6.15,,,
"	165",목포,2011.6.16,,,
"	165",목포,2011.6.17,,,
"	165",목포,2011.6.18,,,
"	165",목포,2011.6.19,,,
"	165",목포,2011.6.20,,,
"	165",목포,2011.6.21,0.5,0.4,20:29
"	165",목포,2011.6.22,51,13.5,9:21
"	165",목포,2011.6.23,0,0,
"	165",목포,2011.6.24,1.5,1.5,7:29
"	165",목포,2011.6.25,26.5,10.5,18:16
"	165",목포,2011.6.26,15.5,6.5,7:10
"	165",목포,2011.6.27,,,
"	165",목포,2011.6.28,11.5,8.5,14:07
"	165",목포,2011.6.29,,,
"	165",목포,2011.6.30,10,4,13:12
"	165",목포,2011.7.1,0.5,0.5,3:08
"	165",목포,2011.7.2,,,
"	165",목포,2011.7.3,59,41.5,22:49
"	165",목포,2011.7.4,23.5,10.5,0:22
"	165",목포,2011.7.5,,,
"	165",목포,2011.7.6,18,10,10:32
"	165",목포,2011.7.7,27,24,6:27
"	165",목포,2011.7.8,0,0,
"	165",목포,2011.7.9,65.5,11.5,22:05
"	165",목포,2011.7.10,21,7.5,0:11
"	165",목포,2011.7.11,3.5,2,18:32
"	165",목포,2011.7.12,1.5,1,
"	165",목포,2011.7.13,0,0,
"	165",목포,2011.7.14,1.5,1.4,21:41
"	165",목포,2011.7.15,0.5,0.5,4:01
"	165",목포,2011.7.16,,,
"	165",목포,2011.7.17,,,
"	165",목포,2011.7.18,,,
"	165",목포,2011.7.19,,,
"	165",목포,2011.7.20,,,
"	165",목포,2011.7.21,,,
"	165",목포,2011.7.22,,,
"	165",목포,2011.7.23,,,
"	165",목포,2011.7.24,,,
"	165",목포,2011.7.25,,,
"	165",목포,2011.7.26,1,0.5,13:29
"	165",목포,2011.7.27,5,5,1:28
"	165",목포,2011.7.28,,,
"	165",목포,2011.7.29,,,
"	165",목포,2011.7.30,,,
"	165",목포,2011.7.31,0.1,0.1,
"	165",목포,2011.8.1,2.5,1.5,1:31
"	165",목포,2011.8.2,,,
"	165",목포,2011.8.3,0,0,
"	165",목포,2011.8.4,,,
"	165",목포,2011.8.5,,,
"	165",목포,2011.8.6,0,0,
"	165",목포,2011.8.7,53.5,14.5,16:39
"	165",목포,2011.8.8,1,0.5,0:01
"	165",목포,2011.8.9,29.5,15,7:51
"	165",목포,2011.8.10,1.5,0.9,7:55
"	165",목포,2011.8.11,0.5,0.3,18:40
"	165",목포,2011.8.12,,,
"	165",목포,2011.8.13,18,14,7:20
"	165",목포,2011.8.14,,,
"	165",목포,2011.8.15,,,
"	165",목포,2011.8.16,,,
"	165",목포,2011.8.17,1,0.5,5:27
"	165",목포,2011.8.18,0.5,0.4,1:29
"	165",목포,2011.8.19,0.2,0.1,
"	165",목포,2011.8.20,42.5,15,20:15
"	165",목포,2011.8.21,1.5,1.5,0:00
"	165",목포,2011.8.22,1.5,0.5,10:59
"	165",목포,2011.8.23,4.5,1.5,12:43
"	165",목포,2011.8.24,1.5,0.5,19:01
"	165",목포,2011.8.25,0.3,0.2,
"	165",목포,2011.8.26,0,0,
"	165",목포,2011.8.27,,,
"	165",목포,2011.8.28,,,
"	165",목포,2011.8.29,,,
"	165",목포,2011.8.30,,,
"	165",목포,2011.8.31,,,
"	165",목포,2011.9.1,,,
"	165",목포,2011.9.2,,,
"	165",목포,2011.9.3,,,
"	165",목포,2011.9.4,,,
"	165",목포,2011.9.5,,,
"	165",목포,2011.9.6,,,
"	165",목포,2011.9.7,,,
"	165",목포,2011.9.8,,,
"	165",목포,2011.9.9,2,1,19:00
"	165",목포,2011.9.10,4,2,2:48
"	165",목포,2011.9.11,0.1,0.1,
"	165",목포,2011.9.12,0.5,0.3,2:11
"	165",목포,2011.9.13,0,0,
"	165",목포,2011.9.14,,,
"	165",목포,2011.9.15,,,
"	165",목포,2011.9.16,,,
"	165",목포,2011.9.17,,,
"	165",목포,2011.9.18,0,0,
"	165",목포,2011.9.19,0.5,0.3,0:13
"	165",목포,2011.9.20,,,
"	165",목포,2011.9.21,,,
"	165",목포,2011.9.22,,,
"	165",목포,2011.9.23,,,
"	165",목포,2011.9.24,,,
"	165",목포,2011.9.25,,,
"	165",목포,2011.9.26,,,
"	165",목포,2011.9.27,,,
"	165",목포,2011.9.28,0,0,
"	165",목포,2011.9.29,3,1,10:51
"	165",목포,2011.9.30,0,0,
"	165",목포,2011.10.1,,,
"	165",목포,2011.10.2,,,
"	165",목포,2011.10.3,,,
"	165",목포,2011.10.4,,,
