시황뉴스
"[특징주] 코스닥 데뷔한 에이비온, 장 초반 공모가 6% 밑돌아"
"코스닥, 외인·기관 ‘팔자’ 속 1%가까이 하락…‘1040선’"
"코스닥, 외인·기관 ‘팔자’ 속 하락 출발…‘1040선’"
"[코스닥(개장)] 전 거래일보다 0.97포인트(0.09%) 내린 1,053.46 출.."
"[특징주]에이비온, 코스닥 이전상장 첫 날 약세… 공모가 밑돌아"
