text
이걸 왜 지금 봤을까..
보는 내내 눈이 즐거웠던 교훈 주는 만화영화
진짜 화려하고 쭉 몰입해서 본영화
애니메이션이라는 틀을 깨버리는 스탠 리의 자식들
"정말 재밌다는 소문만 듣다가 이제서야 봄. 만화적 연출을 위한 저 프레임 연출은 호불호가 좀 갈린부분 아닐까, 나또한 저 부분이 그렇게 와닿게 만화적이게 보이게 했는지는 모르겠다 그냥 부드럽게 보는게 더 보기 편하지 않았을까, 그 외에 만화적 표현들은 연출적으로 아주 훌륭했다. BGM : 중간 중간 깔리는 음악들은 아주 훌륭했다. 연출과 아주 찰떡궁합. 스토리는 좀 진부했다 아주 무난하고 평범한 히어로물 주인공의 위기와 성장 살짝 개연성이 아쉬운 부분이 있었으나 감안하고 보기엔 마무리 포장까지 완성도가 높았다. 개인적 총평은. 아주 재밌었던 영화라기 보단 아주 잘 만든 영화에 가까웠다."
소니 최고의 애니메이션
최고다.
"최고의 스파이더맨 영화, 그냥 믿는거야!"
스파이더맨 영화중 가히 최고
완벽하다 너무 재밌다 진짜 잘 만든 영화
이걸 왜 지금 봤을까..
보는 내내 눈이 즐거웠던 교훈 주는 만화영화
진짜 화려하고 쭉 몰입해서 본영화
애니메이션이라는 틀을 깨버리는 스탠 리의 자식들
"정말 재밌다는 소문만 듣다가 이제서야 봄. 만화적 연출을 위한 저 프레임 연출은 호불호가 좀 갈린부분 아닐까, 나또한 저 부분이 그렇게 와닿게 만화적이게 보이게 했는지는 모르겠다 그냥 부드럽게 보는게 더 보기 편하지 않았을까, 그 외에 만화적 표현들은 연출적으로 아주 훌륭했다. BGM : 중간 중간 깔리는 음악들은 아주 훌륭했다. 연출과 아주 찰떡궁합. 스토리는 좀 진부했다 아주 무난하고 평범한 히어로물 주인공의 위기와 성장 살짝 개연성이 아쉬운 부분이 있었으나 감안하고 보기엔 마무리 포장까지 완성도가 높았다. 개인적 총평은. 아주 재밌었던 영화라기 보단 아주 잘 만든 영화에 가까웠다."
소니 최고의 애니메이션
최고다.
"최고의 스파이더맨 영화, 그냥 믿는거야!"
스파이더맨 영화중 가히 최고
완벽하다 너무 재밌다 진짜 잘 만든 영화
이걸 왜 지금 봤을까..
보는 내내 눈이 즐거웠던 교훈 주는 만화영화
진짜 화려하고 쭉 몰입해서 본영화
애니메이션이라는 틀을 깨버리는 스탠 리의 자식들
"정말 재밌다는 소문만 듣다가 이제서야 봄. 만화적 연출을 위한 저 프레임 연출은 호불호가 좀 갈린부분 아닐까, 나또한 저 부분이 그렇게 와닿게 만화적이게 보이게 했는지는 모르겠다 그냥 부드럽게 보는게 더 보기 편하지 않았을까, 그 외에 만화적 표현들은 연출적으로 아주 훌륭했다. BGM : 중간 중간 깔리는 음악들은 아주 훌륭했다. 연출과 아주 찰떡궁합. 스토리는 좀 진부했다 아주 무난하고 평범한 히어로물 주인공의 위기와 성장 살짝 개연성이 아쉬운 부분이 있었으나 감안하고 보기엔 마무리 포장까지 완성도가 높았다. 개인적 총평은. 아주 재밌었던 영화라기 보단 아주 잘 만든 영화에 가까웠다."
소니 최고의 애니메이션
최고다.
"최고의 스파이더맨 영화, 그냥 믿는거야!"
스파이더맨 영화중 가히 최고
완벽하다 너무 재밌다 진짜 잘 만든 영화
이걸 왜 지금 봤을까..
보는 내내 눈이 즐거웠던 교훈 주는 만화영화
진짜 화려하고 쭉 몰입해서 본영화
애니메이션이라는 틀을 깨버리는 스탠 리의 자식들
"정말 재밌다는 소문만 듣다가 이제서야 봄. 만화적 연출을 위한 저 프레임 연출은 호불호가 좀 갈린부분 아닐까, 나또한 저 부분이 그렇게 와닿게 만화적이게 보이게 했는지는 모르겠다 그냥 부드럽게 보는게 더 보기 편하지 않았을까, 그 외에 만화적 표현들은 연출적으로 아주 훌륭했다. BGM : 중간 중간 깔리는 음악들은 아주 훌륭했다. 연출과 아주 찰떡궁합. 스토리는 좀 진부했다 아주 무난하고 평범한 히어로물 주인공의 위기와 성장 살짝 개연성이 아쉬운 부분이 있었으나 감안하고 보기엔 마무리 포장까지 완성도가 높았다. 개인적 총평은. 아주 재밌었던 영화라기 보단 아주 잘 만든 영화에 가까웠다."
소니 최고의 애니메이션
최고다.
"최고의 스파이더맨 영화, 그냥 믿는거야!"
스파이더맨 영화중 가히 최고
완벽하다 너무 재밌다 진짜 잘 만든 영화
이걸 왜 지금 봤을까..
보는 내내 눈이 즐거웠던 교훈 주는 만화영화
진짜 화려하고 쭉 몰입해서 본영화
애니메이션이라는 틀을 깨버리는 스탠 리의 자식들
"정말 재밌다는 소문만 듣다가 이제서야 봄. 만화적 연출을 위한 저 프레임 연출은 호불호가 좀 갈린부분 아닐까, 나또한 저 부분이 그렇게 와닿게 만화적이게 보이게 했는지는 모르겠다 그냥 부드럽게 보는게 더 보기 편하지 않았을까, 그 외에 만화적 표현들은 연출적으로 아주 훌륭했다. BGM : 중간 중간 깔리는 음악들은 아주 훌륭했다. 연출과 아주 찰떡궁합. 스토리는 좀 진부했다 아주 무난하고 평범한 히어로물 주인공의 위기와 성장 살짝 개연성이 아쉬운 부분이 있었으나 감안하고 보기엔 마무리 포장까지 완성도가 높았다. 개인적 총평은. 아주 재밌었던 영화라기 보단 아주 잘 만든 영화에 가까웠다."
소니 최고의 애니메이션
최고다.
"최고의 스파이더맨 영화, 그냥 믿는거야!"
스파이더맨 영화중 가히 최고
완벽하다 너무 재밌다 진짜 잘 만든 영화
이걸 왜 지금 봤을까..
보는 내내 눈이 즐거웠던 교훈 주는 만화영화
진짜 화려하고 쭉 몰입해서 본영화
애니메이션이라는 틀을 깨버리는 스탠 리의 자식들
"정말 재밌다는 소문만 듣다가 이제서야 봄. 만화적 연출을 위한 저 프레임 연출은 호불호가 좀 갈린부분 아닐까, 나또한 저 부분이 그렇게 와닿게 만화적이게 보이게 했는지는 모르겠다 그냥 부드럽게 보는게 더 보기 편하지 않았을까, 그 외에 만화적 표현들은 연출적으로 아주 훌륭했다. BGM : 중간 중간 깔리는 음악들은 아주 훌륭했다. 연출과 아주 찰떡궁합. 스토리는 좀 진부했다 아주 무난하고 평범한 히어로물 주인공의 위기와 성장 살짝 개연성이 아쉬운 부분이 있었으나 감안하고 보기엔 마무리 포장까지 완성도가 높았다. 개인적 총평은. 아주 재밌었던 영화라기 보단 아주 잘 만든 영화에 가까웠다."
소니 최고의 애니메이션
최고다.
"최고의 스파이더맨 영화, 그냥 믿는거야!"
스파이더맨 영화중 가히 최고
완벽하다 너무 재밌다 진짜 잘 만든 영화
이걸 왜 지금 봤을까..
보는 내내 눈이 즐거웠던 교훈 주는 만화영화
진짜 화려하고 쭉 몰입해서 본영화
애니메이션이라는 틀을 깨버리는 스탠 리의 자식들
"정말 재밌다는 소문만 듣다가 이제서야 봄. 만화적 연출을 위한 저 프레임 연출은 호불호가 좀 갈린부분 아닐까, 나또한 저 부분이 그렇게 와닿게 만화적이게 보이게 했는지는 모르겠다 그냥 부드럽게 보는게 더 보기 편하지 않았을까, 그 외에 만화적 표현들은 연출적으로 아주 훌륭했다. BGM : 중간 중간 깔리는 음악들은 아주 훌륭했다. 연출과 아주 찰떡궁합. 스토리는 좀 진부했다 아주 무난하고 평범한 히어로물 주인공의 위기와 성장 살짝 개연성이 아쉬운 부분이 있었으나 감안하고 보기엔 마무리 포장까지 완성도가 높았다. 개인적 총평은. 아주 재밌었던 영화라기 보단 아주 잘 만든 영화에 가까웠다."
소니 최고의 애니메이션
최고다.
"최고의 스파이더맨 영화, 그냥 믿는거야!"
스파이더맨 영화중 가히 최고
완벽하다 너무 재밌다 진짜 잘 만든 영화
